priority,APN,COUNTY,Issue_Category,Num_Years_Lost,Total_Units_CSV,Years_Lost,Years_In_FC,spatial_parent_apns,match_types,Suggested_Action
HIGH: UNKNOWN + no genealogy,1319-30-520-007,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-029,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-008,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-009,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-031,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-010,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-032,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-013,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-024,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-014,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-003,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-015,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-019,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-020,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-031,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-021,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-032,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-023,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-025,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-003,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-026,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-030,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-522-001,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-523-003,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-522-002,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-522-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-522-003,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-523-003,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-522-004,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-522-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-611-001,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-611-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-611-002,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-611-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-611-003,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-611-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-611-004,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-611-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-611-005,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-611-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-611-006,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-611-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-611-007,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-611-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-611-008,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-611-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-001,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-612-000,closest_2.9m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-002,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-612-000,closest_3.1m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-003,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-612-000,closest_3.1m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-004,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-610-001,closest_2.9m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-005,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-612-000,closest_2.9m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-007,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-612-000,closest_3.1m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-008,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-610-001,closest_2.9m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-009,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-612-000,closest_2.9m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-010,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-612-000,closest_3.1m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-011,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-612-000,closest_3.1m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-612-012,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-610-001,closest_2.9m,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
