priority,APN,COUNTY,Issue_Category,Num_Years_Lost,Total_Units_CSV,Years_Lost,Years_In_FC,spatial_parent_apns,match_types,Suggested_Action
LOW:  in genealogy (review),093-083-014,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",093-083-050,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),093-083-015,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",093-083-044,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),093-160-016,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",093-160-082,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),093-194-007,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",093-194-017,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),093-194-012,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",093-194-018,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),094-102-019,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",094-102-024,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),094-122-019,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",094-122-059,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),094-140-063,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2013, 2014]",094-140-067,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),094-150-007,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",094-520-015,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),095-110-006,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",095-110-026,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),095-110-009,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",095-110-025,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),095-390-025,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],095-510-006,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),097-084-014,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],097-084-025,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),097-164-006,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",097-164-013,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),097-192-001,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",097-192-010,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-010-034,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2013, 2014]",098-010-038,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-010-035,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2013, 2014]",098-010-040,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-010-036,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",098-010-041,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-010-037,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",098-010-042,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-192-002,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",098-192-011,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-210-007,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2013, 2014]",098-210-039,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-210-030,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",098-360-001,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),110-620-024,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],117-210-005,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),112-190-044,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",112-190-045,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),115-030-096,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2014],115-030-097,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),115-040-075,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",115-040-081,intersect,"APN present in FC through 2019, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),115-060-010,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]","115-060-020, 115-060-023",intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),115-060-018,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",115-060-022,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-071-039,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],117-071-051,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-100-014,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",117-100-013,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-100-015,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",117-100-089,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-100-016,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",117-100-089,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-100-017,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",117-100-091,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-120-032,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",117-120-041,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-230-006,PL,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],117-230-003,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),122-100-04,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",122-100-29,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),122-100-23,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",122-100-27,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),122-530-25,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",122-530-38,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),122-530-26,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",122-530-38,intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),123-032-11,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",123-032-28,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),123-071-34,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",123-293-02,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),123-131-02,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",123-131-08,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),123-131-05,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2015, 2016, 2017, 2018, 2019, 2020]","123-131-01, 123-131-10",intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),125-172-31,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2013, 2014]",125-172-34,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),125-172-32,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2013, 2014]",125-172-33,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),125-232-04,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2013, 2014]",125-232-29,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),125-382-19,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",125-382-21,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),125-462-07,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",125-462-10,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),126-082-08,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],126-082-66,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),126-560-28,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",126-560-42,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),126-560-37,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",126-560-41,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),126-570-16,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",126-570-37,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-280-14,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-301-03,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-280-15,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-301-04,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-280-16,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-301-05,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-280-17,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-301-06,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-280-18,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-301-07,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-280-19,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-301-08,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-280-21,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-071-04,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-291-03,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-291-33,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-291-13,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-291-34,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-291-17,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-291-35,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-291-20,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-291-36,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-01,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-27,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-02,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-28,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-03,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-29,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-06,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-30,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-10,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-32,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-12,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-33,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-17,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-35,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-18,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-40,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-19,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-39,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-20,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-38,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-22,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-36,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-26,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-37,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),130-241-32,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],130-241-63,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),130-241-33,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],130-241-64,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),130-312-27,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",130-312-30,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),130-332-04,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],130-332-12,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),130-332-05,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],130-332-13,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),130-332-09,WA,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],130-332-10,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-09-810-035,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-09-810-115,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-09-810-070,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-09-810-116,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-10-310-036,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1318-10-310-078,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-10-416-039,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",1318-10-416-063,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-15-711-029,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2013, 2014]",1318-15-711-030,intersect,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-23-710-038,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",1318-23-710-096,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-23-710-039,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",1318-23-710-097,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-24-701-008,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-24-701-010,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-25-101-017,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-24-404-023,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-26-601-006,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-26-601-008,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-03-301-002,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1418-03-301-013,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-03-401-007,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]",[2013],1418-03-401-017,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-10-510-001,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1418-10-510-003,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-11-311-004,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",1418-11-311-015,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-15-110-016,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]","1418-15-110-021, 1418-15-511-027",intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-15-201-003,DG,PARCEL_SPLIT,5,5,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1418-15-201-006,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
