ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt,ReconciliationNote,LoadedAt
300,023-311-01,023-311-001,SFRUU_or_MFRUU_TBD,2023,,,-2,qa_correction,Error - should be zero. Converted to commercial (STPUD) in 2010,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
301,023-311-10,023-311-010,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be zero. Converted to commercial (STPUD) in 2010,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
338,023-491-28,023-491-028,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
354,023-672-12,023-672-012,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Correction - vacant parcel -zero out,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
363,023-700-01,023-700-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
369,023-840-01,023-840-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
370,023-840-02,023-840-002,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
371,023-840-03,023-840-003,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
372,023-840-04,023-840-004,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
373,023-840-05,023-840-005,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
