CSV_APN,FC_APN,Year,Match_Type,APN_Changed
1319-30-615-005,1319-30-615-000,2012,intersect,True
1319-30-615-006,1319-30-615-000,2012,intersect,True
1319-30-625-003,1319-30-625-000,2012,intersect,True
1319-30-626-001,1319-30-626-000,2012,intersect,True
123-293-02,123-071-34,2012,intersect,True
123-293-03,123-071-34,2012,intersect,True
123-294-03,123-071-34,2012,intersect,True
123-295-01,123-071-34,2012,intersect,True
123-295-02,123-071-34,2012,intersect,True
123-295-05,123-071-34,2012,intersect,True
1319-30-617-001,1319-30-617-000,2012,intersect,True
1319-30-617-002,1319-30-617-008,2012,intersect,True
1318-23-315-025,1318-23-301-001,2012,intersect,True
1318-23-315-044,1318-23-301-001,2012,intersect,True
1318-23-315-041,1318-23-301-001,2012,intersect,True
1318-23-315-007,1318-23-301-001,2012,intersect,True
1318-23-315-031,1318-23-301-001,2012,intersect,True
1318-23-315-037,1318-23-301-001,2012,intersect,True
1318-23-315-036,1318-23-301-001,2012,intersect,True
1318-23-315-039,1318-23-301-001,2012,intersect,True
1318-23-315-004,1318-23-301-001,2012,intersect,True
1318-23-315-034,1318-23-301-001,2012,intersect,True
016-300-64,016-300-59,2012,intersect,True
025-451-29,025-451-18,2012,intersect,True
015-104-023,015-104-09,2012,intersect,True
029-710-001,029-441-21,2012,intersect,True
029-710-010,029-441-15,2012,intersect,True
029-710-019,029-441-21,2012,intersect,True
029-710-011,029-441-15,2012,intersect,True
029-710-018,029-441-15,2012,intersect,True
029-710-012,029-441-15,2012,intersect,True
029-710-017,029-441-15,2012,intersect,True
029-710-015,029-441-15,2012,intersect,True
028-340-001,028-011-19,2012,intersect,True
028-340-012,028-011-19,2012,intersect,True
028-340-017,028-011-19,2012,intersect,True
028-340-008,028-011-19,2012,intersect,True
028-340-009,028-011-19,2012,intersect,True
098-360-006,098-210-031,2012,intersect,True
123-032-29,123-032-11,2012,intersect,True
015-370-027,015-370-23,2012,intersect,True
1318-22-311-015,1318-22-002-002,2012,intersect,True
1318-22-311-022,1318-22-002-002,2012,intersect,True
1318-22-311-025,1318-22-002-002,2012,intersect,True
1318-22-312-001,1318-22-002-002,2012,intersect,True
1318-22-312-003,1318-22-002-002,2012,intersect,True
1318-22-312-012,1318-22-002-002,2012,intersect,True
1318-22-312-010,1318-22-002-002,2012,intersect,True
117-150-046,117-150-040,2012,intersect,True
117-150-044,117-150-040,2012,intersect,True
034-591-019,034-591-16,2012,intersect,True
115-040-082,115-040-075,2012,intersect,True
123-131-11,123-131-04,2012,intersect,True
1318-22-312-020,1318-22-002-002,2012,intersect,True
126-082-68,126-082-21,2012,intersect,True
098-167-019,098-167-006,2012,intersect,True
090-191-051,090-191-008,2012,intersect,True
023-960-006,023-182-28,2012,intersect,True
130-241-65,130-241-46,2012,intersect,True
1318-22-313-005,1318-22-002-002,2012,intersect,True
1318-22-314-001,1318-22-002-002,2012,intersect,True
1318-22-314-004,1318-22-002-002,2012,intersect,True
1318-22-316-001,1318-22-002-002,2012,intersect,True
1318-22-316-004,1318-22-002-002,2012,intersect,True
1318-22-317-001,1318-22-002-002,2012,intersect,True
1318-22-317-003,1318-22-002-002,2012,intersect,True
1318-22-317-006,1318-22-002-002,2012,intersect,True
1318-22-711-002,1318-22-002-002,2012,intersect,True
1318-22-711-007,1318-22-002-002,2012,intersect,True
1418-15-511-026,1418-15-511-002,2012,intersect,True
023-904-018,023-904-08,2012,intersect,True
1418-10-802-011,1418-10-802-004,2012,intersect,True
094-110-007,094-110-026,2012,intersect,True
112-180-009,112-180-077,2012,intersect,True
126-080-25,126-080-26,2012,intersect,True
115-030-034,115-030-097,2012,intersect,True
094-171-007,094-171-010,2012,intersect,True
1418-27-210-033,1418-27-210-020,2012,intersect,True
1418-34-113-004,1418-34-101-001,2012,intersect,True
1418-34-113-008,1418-34-101-001,2012,intersect,True
1319-30-515-002,1319-30-515-000,2012,intersect,True
1319-30-515-004,1319-30-515-000,2012,intersect,True
1418-34-110-065,1418-34-110-024,2012,intersect,True
090-072-037,090-072-026,2012,intersect,True
090-072-038,090-072-026,2012,intersect,True
090-072-039,090-072-026,2012,intersect,True
090-072-031,090-072-026,2012,intersect,True
129-071-03,129-280-21,2012,intersect,True
129-071-09,129-290-01,2012,intersect,True
1319-30-622-010,1319-30-622-000,2012,intersect,True
1418-27-210-036,1418-27-210-029,2012,intersect,True
1319-30-514-008,1319-30-514-000,2012,intersect,True
1319-30-515-001,1319-30-515-000,2012,intersect,True
1319-30-514-014,1319-30-514-000,2012,intersect,True
1319-30-514-022,1319-30-514-000,2012,intersect,True
1319-30-514-021,1319-30-514-000,2012,intersect,True
1319-30-514-019,1319-30-514-000,2012,intersect,True
1319-30-514-018,1319-30-514-000,2012,intersect,True
1319-30-514-009,1319-30-514-000,2012,intersect,True
1319-30-520-013,1319-30-520-024,2012,intersect,True
1319-30-520-025,1319-30-520-003,2012,intersect,True
1319-30-520-026,1319-30-520-000,2012,intersect,True
1319-30-520-019,1319-30-520-000,2012,intersect,True
1319-30-522-002,1319-30-522-000,2012,intersect,True
1319-30-611-004,1319-30-611-000,2012,intersect,True
1319-30-611-005,1319-30-611-000,2012,intersect,True
1319-30-611-006,1319-30-611-000,2012,intersect,True
1319-30-614-006,1319-30-614-000,2012,intersect,True
1319-30-615-002,1319-30-615-000,2012,intersect,True
1319-30-615-001,1319-30-615-000,2012,intersect,True
