old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
031-225-008,031-225-08,2021,,rename,1,ACCELA
031-225-009,031-225-09,2021,,rename,1,ACCELA
031-225-010,031-225-10,2021,,rename,1,ACCELA
031-225-011,031-225-11,2021,,rename,1,ACCELA
031-225-005,031-225-05,2021,,rename,1,ACCELA
031-226-002,031-226-02,2021,,rename,1,ACCELA
031-224-010,031-224-10,2021,,rename,1,ACCELA
031-224-008,031-224-08,2021,,rename,1,ACCELA
031-223-010,031-223-10,2021,,rename,1,ACCELA
031-223-011,031-223-11,2021,,rename,1,ACCELA
031-223-012,031-223-12,2021,,rename,1,ACCELA
031-223-013,031-223-13,2021,,rename,1,ACCELA
031-223-014,031-223-14,2021,,rename,1,ACCELA
031-223-015,031-223-15,2021,,rename,1,ACCELA
031-224-009,031-224-09,2021,,rename,1,ACCELA
031-223-016,031-223-16,2021,,rename,1,ACCELA
031-224-002,031-224-02,2021,,rename,1,ACCELA
031-224-003,031-224-03,2021,,rename,1,ACCELA
031-224-004,031-224-04,2021,,rename,1,ACCELA
031-224-005,031-224-05,2021,,rename,1,ACCELA
031-224-006,031-224-06,2021,,rename,1,ACCELA
031-224-007,031-224-07,2021,,rename,1,ACCELA
031-223-017,031-223-17,2021,,rename,1,ACCELA
031-226-003,031-226-03,2021,,rename,1,ACCELA
031-226-004,031-226-04,2021,,rename,1,ACCELA
031-226-005,031-226-05,2021,,rename,1,ACCELA
031-231-016,031-231-16,2021,,rename,1,ACCELA
031-231-017,031-231-17,2021,,rename,1,ACCELA
031-231-018,031-231-18,2021,,rename,1,ACCELA
031-231-019,031-231-19,2021,,rename,1,ACCELA
031-232-002,031-232-02,2021,,rename,1,ACCELA
031-232-003,031-232-03,2021,,rename,1,ACCELA
031-231-015,031-231-15,2021,,rename,1,ACCELA
031-232-004,031-232-04,2021,,rename,1,ACCELA
031-232-006,031-232-06,2021,,rename,1,ACCELA
031-232-007,031-232-07,2021,,rename,1,ACCELA
031-232-008,031-232-08,2021,,rename,1,ACCELA
031-232-009,031-232-09,2021,,rename,1,ACCELA
031-232-010,031-232-10,2021,,rename,1,ACCELA
031-232-011,031-232-11,2021,,rename,1,ACCELA
031-232-005,031-232-05,2021,,rename,1,ACCELA
031-231-014,031-231-14,2021,,rename,1,ACCELA
031-231-013,031-231-13,2021,,rename,1,ACCELA
031-231-012,031-231-12,2021,,rename,1,ACCELA
031-226-006,031-226-06,2021,,rename,1,ACCELA
031-226-007,031-226-07,2021,,rename,1,ACCELA
031-226-008,031-226-08,2021,,rename,1,ACCELA
031-226-009,031-226-09,2021,,rename,1,ACCELA
031-226-010,031-226-10,2021,,rename,1,ACCELA
031-231-002,031-231-02,2021,,rename,1,ACCELA
031-231-003,031-231-03,2021,,rename,1,ACCELA
031-231-004,031-231-04,2021,,rename,1,ACCELA
031-231-005,031-231-05,2021,,rename,1,ACCELA
031-231-006,031-231-06,2021,,rename,1,ACCELA
031-231-007,031-231-07,2021,,rename,1,ACCELA
031-231-008,031-231-08,2021,,rename,1,ACCELA
031-231-009,031-231-09,2021,,rename,1,ACCELA
031-231-010,031-231-10,2021,,rename,1,ACCELA
