row_index,reason,raw_apn,value
6066,noncanonical_category_2023,023-840-06,Mobile Home Park Corrections
6067,noncanonical_category_2023,023-840-07,Mobile Home Park Corrections
6068,noncanonical_category_2023,023-840-08,Mobile Home Park Corrections
6069,noncanonical_category_2023,023-840-09,Mobile Home Park Corrections
6070,noncanonical_category_2023,023-840-10,Mobile Home Park Corrections
6071,noncanonical_category_2023,023-840-11,Mobile Home Park Corrections
6072,noncanonical_category_2023,023-840-12,Mobile Home Park Corrections
6073,noncanonical_category_2023,023-840-13,Mobile Home Park Corrections
6074,noncanonical_category_2023,023-840-14,Mobile Home Park Corrections
6075,noncanonical_category_2023,023-840-15,Mobile Home Park Corrections
6076,noncanonical_category_2023,023-840-16,Mobile Home Park Corrections
6077,noncanonical_category_2023,023-840-17,Mobile Home Park Corrections
6078,noncanonical_category_2023,023-840-18,Mobile Home Park Corrections
6079,noncanonical_category_2023,023-840-19,Mobile Home Park Corrections
6080,noncanonical_category_2023,023-840-20,Mobile Home Park Corrections
6081,noncanonical_category_2023,023-840-21,Mobile Home Park Corrections
6082,noncanonical_category_2023,023-840-22,Mobile Home Park Corrections
6083,noncanonical_category_2023,023-840-23,Mobile Home Park Corrections
6084,noncanonical_category_2023,023-840-24,Mobile Home Park Corrections
6085,noncanonical_category_2023,023-840-25,Mobile Home Park Corrections
6086,noncanonical_category_2023,023-840-26,Mobile Home Park Corrections
6087,noncanonical_category_2023,023-840-27,Mobile Home Park Corrections
6088,noncanonical_category_2023,023-840-28,Mobile Home Park Corrections
6089,noncanonical_category_2023,023-840-29,Mobile Home Park Corrections
6090,noncanonical_category_2023,023-840-30,Mobile Home Park Corrections
6091,noncanonical_category_2023,023-840-31,Mobile Home Park Corrections
6092,noncanonical_category_2023,023-850-01,Mobile Home Park Corrections
6093,noncanonical_category_2023,023-850-02,Mobile Home Park Corrections
6094,noncanonical_category_2023,023-850-03,Mobile Home Park Corrections
6095,noncanonical_category_2023,023-850-04,Mobile Home Park Corrections
6096,noncanonical_category_2023,023-850-05,Mobile Home Park Corrections
6097,noncanonical_category_2023,023-850-06,Mobile Home Park Corrections
6098,noncanonical_category_2023,023-850-07,Mobile Home Park Corrections
6099,noncanonical_category_2023,023-850-08,Mobile Home Park Corrections
6100,noncanonical_category_2023,023-850-09,Mobile Home Park Corrections
6101,noncanonical_category_2023,023-850-10,Mobile Home Park Corrections
6102,noncanonical_category_2023,023-850-11,Mobile Home Park Corrections
6103,noncanonical_category_2023,023-850-12,Mobile Home Park Corrections
6104,noncanonical_category_2023,023-850-13,Mobile Home Park Corrections
6105,noncanonical_category_2023,023-850-14,Mobile Home Park Corrections
6106,noncanonical_category_2023,023-850-15,Mobile Home Park Corrections
6107,noncanonical_category_2023,023-850-16,Mobile Home Park Corrections
6108,noncanonical_category_2023,023-850-17,Mobile Home Park Corrections
6109,noncanonical_category_2023,023-850-18,Mobile Home Park Corrections
6110,noncanonical_category_2023,023-850-19,Mobile Home Park Corrections
6111,noncanonical_category_2023,023-850-20,Mobile Home Park Corrections
6112,noncanonical_category_2023,023-850-21,Mobile Home Park Corrections
6113,noncanonical_category_2023,023-850-22,Mobile Home Park Corrections
6114,noncanonical_category_2023,023-850-23,Mobile Home Park Corrections
6115,noncanonical_category_2023,023-850-24,Mobile Home Park Corrections
6116,noncanonical_category_2023,023-850-25,Mobile Home Park Corrections
6117,noncanonical_category_2023,023-850-26,Mobile Home Park Corrections
6118,noncanonical_category_2023,023-850-27,Mobile Home Park Corrections
6119,noncanonical_category_2023,023-850-28,Mobile Home Park Corrections
6120,noncanonical_category_2023,023-850-29,Mobile Home Park Corrections
6121,noncanonical_category_2023,023-850-30,Mobile Home Park Corrections
6122,noncanonical_category_2023,023-860-01,Over-Correction
6123,noncanonical_category_2023,023-860-02,Over-Correction
6124,noncanonical_category_2023,023-860-03,Over-Correction
6125,noncanonical_category_2023,023-860-04,Over-Correction
6126,noncanonical_category_2023,023-860-05,Over-Correction
6127,noncanonical_category_2023,023-860-06,Over-Correction
6128,noncanonical_category_2023,023-860-07,Over-Correction
6129,noncanonical_category_2023,023-860-08,Over-Correction
6130,noncanonical_category_2023,023-860-09,Over-Correction
6131,noncanonical_category_2023,023-870-01,Mobile Home Park Corrections
6132,noncanonical_category_2023,023-870-02,Mobile Home Park Corrections
6133,noncanonical_category_2023,023-870-03,Mobile Home Park Corrections
6134,noncanonical_category_2023,023-870-04,Mobile Home Park Corrections
6135,noncanonical_category_2023,023-870-05,Mobile Home Park Corrections
6136,noncanonical_category_2023,023-870-06,Mobile Home Park Corrections
6137,noncanonical_category_2023,023-870-07,Mobile Home Park Corrections
6138,noncanonical_category_2023,023-870-08,Mobile Home Park Corrections
6139,noncanonical_category_2023,023-870-09,Mobile Home Park Corrections
6140,noncanonical_category_2023,023-870-10,Mobile Home Park Corrections
6141,noncanonical_category_2023,023-870-11,Mobile Home Park Corrections
6142,noncanonical_category_2023,023-870-12,Mobile Home Park Corrections
6143,noncanonical_category_2023,023-870-13,Mobile Home Park Corrections
6144,noncanonical_category_2023,023-870-14,Mobile Home Park Corrections
6145,noncanonical_category_2023,023-870-15,Mobile Home Park Corrections
6146,noncanonical_category_2023,023-870-16,Mobile Home Park Corrections
6147,noncanonical_category_2023,023-870-17,Mobile Home Park Corrections
6148,noncanonical_category_2023,023-880-01,Mobile Home Park Corrections
6149,noncanonical_category_2023,023-880-02,Mobile Home Park Corrections
6150,noncanonical_category_2023,023-880-03,Mobile Home Park Corrections
6151,noncanonical_category_2023,023-880-04,Mobile Home Park Corrections
6152,noncanonical_category_2023,023-880-05,Mobile Home Park Corrections
6153,noncanonical_category_2023,023-880-06,Mobile Home Park Corrections
6154,noncanonical_category_2023,023-880-07,Mobile Home Park Corrections
6155,noncanonical_category_2023,023-880-08,Mobile Home Park Corrections
6156,noncanonical_category_2023,023-880-09,Mobile Home Park Corrections
6157,noncanonical_category_2023,023-880-10,Mobile Home Park Corrections
6158,noncanonical_category_2023,023-880-11,Mobile Home Park Corrections
6159,noncanonical_category_2023,023-880-12,Mobile Home Park Corrections
6160,noncanonical_category_2023,023-880-13,Mobile Home Park Corrections
6161,noncanonical_category_2023,023-880-14,Mobile Home Park Corrections
6162,noncanonical_category_2023,023-880-15,Mobile Home Park Corrections
6163,noncanonical_category_2023,023-880-16,Mobile Home Park Corrections
6164,noncanonical_category_2023,023-880-17,Mobile Home Park Corrections
6165,noncanonical_category_2023,023-880-18,Mobile Home Park Corrections
6166,noncanonical_category_2023,023-880-19,Mobile Home Park Corrections
6167,noncanonical_category_2023,023-891-01,Correction Based on County Data
6184,noncanonical_category_2023,023-891-21,Correction Based on County Data
6186,noncanonical_category_2023,023-892-02,Vacant Parcel
6194,noncanonical_category_2023,023-892-11,Vacant Parcel
6200,noncanonical_category_2023,023-892-17,Vacant Parcel
6201,noncanonical_category_2023,023-892-18,Vacant Parcel
6223,noncanonical_category_2023,023-902-12,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6306,noncanonical_category_2023,023-950-01,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6307,noncanonical_category_2023,023-950-02,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6308,noncanonical_category_2023,023-950-03,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6309,noncanonical_category_2023,023-950-04,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6310,noncanonical_category_2023,023-950-05,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6311,noncanonical_category_2023,023-950-06,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6312,noncanonical_category_2023,023-950-07,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6313,noncanonical_category_2023,023-950-08,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6317,noncanonical_category_2023,025-021-77,Over-Correction
6330,noncanonical_category_2023,025-032-03,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6334,noncanonical_category_2023,025-032-21,Over-Correction
6345,noncanonical_category_2023,025-051-28,Unit(s) Added Based on GIS (Errors)
6394,noncanonical_category_2023,025-202-14,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6417,noncanonical_category_2023,025-211-12,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6421,noncanonical_category_2023,025-211-16,Correction Based on County Data
6424,noncanonical_category_2023,025-211-21,Correction Based on County Data
6442,noncanonical_category_2023,025-223-15,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6455,noncanonical_category_2023,025-224-18,Correction Based on County Data
6456,noncanonical_category_2023,025-224-20,Correction Based on County Data
6466,noncanonical_category_2023,025-225-14,Over-Correction
6469,noncanonical_category_2023,025-225-28,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6470,noncanonical_category_2023,025-225-30,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6505,noncanonical_category_2023,025-241-10,HOA/Common Area Corrections
6533,noncanonical_category_2023,025-262-07,Corrections based on County Data
6551,noncanonical_category_2023,025-264-09,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6553,noncanonical_category_2023,025-271-05,Correction Based on County Data
6570,noncanonical_category_2023,025-271-30,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6580,noncanonical_category_2023,025-271-60,Correction Based on County Data
6595,noncanonical_category_2023,025-272-20,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6667,noncanonical_category_2023,025-312-06,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6681,noncanonical_category_2023,025-313-03,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6707,noncanonical_category_2023,025-341-03,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6757,noncanonical_category_2023,025-352-09,Over-Correction
6794,noncanonical_category_2023,025-360-17,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6909,noncanonical_category_2023,025-381-02,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
6917,noncanonical_category_2023,025-381-12,Corrections based on County Data
6928,noncanonical_category_2023,025-382-04,Correction Based on County Data
6929,noncanonical_category_2023,025-382-05,Correction Based on County Data
6931,noncanonical_category_2023,025-382-07,Correction Based on County Data
6934,noncanonical_category_2023,025-382-10,Correction Based on County Data
6935,noncanonical_category_2023,025-382-11,Correction Based on County Data
6936,noncanonical_category_2023,025-382-12,Correction Based on County Data
6937,noncanonical_category_2023,025-382-13,Correction Based on County Data
6938,noncanonical_category_2023,025-382-14,Correction Based on County Data
6980,noncanonical_category_2023,025-393-25,Corrections based on County Data
7044,noncanonical_category_2023,025-403-10,Vacant Parcel
7106,noncanonical_category_2023,025-431-01,Vacant Parcel
7181,noncanonical_category_2023,025-451-17,Over-Correction
7230,noncanonical_category_2023,025-481-58,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7273,noncanonical_category_2023,025-510-02,HOA/Common Area Corrections
7275,noncanonical_category_2023,025-510-04,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7281,noncanonical_category_2023,025-510-77,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7283,noncanonical_category_2023,025-510-91,Correction Based on County Data
7284,noncanonical_category_2023,025-510-95,Correction Based on County Data
7287,noncanonical_category_2023,025-520-21,Vacant Parcel
7300,noncanonical_category_2023,025-541-14,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7336,noncanonical_category_2023,025-544-03,Corrections based on County Data
7343,noncanonical_category_2023,025-551-02,Vacant Parcel
7365,noncanonical_category_2023,025-552-01,Vacant Parcel
7385,noncanonical_category_2023,025-580-02,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7417,noncanonical_category_2023,025-594-04,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7439,noncanonical_category_2023,025-602-11,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7578,noncanonical_category_2023,025-652-01,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7670,noncanonical_category_2023,025-702-01,Vacant Parcel
7732,noncanonical_category_2023,025-731-04,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7735,noncanonical_category_2023,025-732-01,Vacant Parcel
7762,noncanonical_category_2023,025-735-06,Over-Correction
7834,noncanonical_category_2023,025-755-05,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
7983,noncanonical_category_2023,025-792-15,Corrections based on County Data
7986,noncanonical_category_2023,025-792-28,Vacant Parcel
7998,noncanonical_category_2023,025-793-13,Vacant Parcel
8009,noncanonical_category_2023,025-803-09,Unit(s) Added Based on GIS (Errors)
8019,noncanonical_category_2023,025-804-07,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
8050,noncanonical_category_2023,025-813-03,Correction Based on County Data
8061,noncanonical_category_2023,025-813-20,Correction Based on County Data
8062,noncanonical_category_2023,025-813-21,Correction Based on County Data
8063,noncanonical_category_2023,025-813-23,Correction Based on County Data
8098,noncanonical_category_2023,025-831-01,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
8137,noncanonical_category_2023,025-833-09,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
