APN,CSV_Units,Scenario,Has_FC_Row,Has_Geometry,FC_Units,In_Genealogy,Explanation
027-313-006,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
027-313-012,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
028-301-006,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-095-006,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-095-019,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-104-001,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-602-011,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
030-434-009,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
031-084-015,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
033-574-003,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
034-691-020,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
034-722-004,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
034-734-022,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
035-293-016,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
035-301-001,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
036-350-009,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
036-530-023,5,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
016-211-014,3,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
029-095-021,2,A,False,False,0,True,No FC row; APN appears as genealogy successor — units carried by predecessor APN
