APN,COUNTY,Years_Lost,Num_Years_Lost,Total_Units_CSV,Years_In_FC,Issue_Category,Suggested_Action
130-312-04,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-15-601-003,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-10-702-006,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-27-210-029,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-110-003,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-401-010,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-401-011,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
098-210-031,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
117-180-037,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
124-860-01,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
124-860-02,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
124-860-03,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-10-415-062,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1319-19-710-031,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1319-19-710-032,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-210-007,,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,8,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
