APN,YL,Units_CSV,Year,APN_fixed,FC_Units,COUNTY
093-042-022,2018 Final,1.0,2018,093-042-022,,
093-160-016,2018 Final,1.0,2018,093-160-016,,
093-194-007,2018 Final,1.0,2018,093-194-007,,
093-194-012,2018 Final,1.0,2018,093-194-012,,
094-122-019,2018 Final,1.0,2018,094-122-019,,
094-300-011,2018 Final,1.0,2018,094-300-011,,
094-350-021,2018 Final,1.0,2018,094-350-021,,
095-130-007,2018 Final,5.0,2018,095-130-007,,
097-092-003,2018 Final,1.0,2018,097-092-003,,
097-122-002,2018 Final,1.0,2018,097-122-002,,
097-122-015,2018 Final,1.0,2018,097-122-015,,
097-130-029,2018 Final,1.0,2018,097-130-029,,
097-164-006,2018 Final,1.0,2018,097-164-006,,
097-192-001,2018 Final,1.0,2018,097-192-001,,
112-060-017,2018 Final,2.0,2018,112-060-017,,
112-180-009,2018 Final,1.0,2018,112-180-009,,
112-190-040,2018 Final,1.0,2018,112-190-040,,
112-190-042,2018 Final,1.0,2018,112-190-042,,
115-030-035,2018 Final,1.0,2018,115-030-035,,
115-050-039,2018 Final,2.0,2018,115-050-039,,
115-060-010,2018 Final,1.0,2018,115-060-010,,
115-060-018,2018 Final,1.0,2018,115-060-018,,
117-020-009,2018 Final,1.0,2018,117-020-009,,
117-071-025,2018 Final,1.0,2018,117-071-025,,
117-110-008,2018 Final,1.0,2018,117-110-008,,
117-120-031,2018 Final,1.0,2018,117-120-031,,
117-180-037,2018 Final,1.0,2018,117-180-037,,
117-180-038,2018 Final,2.0,2018,117-180-038,,
122-100-04,2018 Final,1.0,2018,122-100-04,,
122-100-23,2018 Final,1.0,2018,122-100-23,,
122-100-24,2018 Final,1.0,2018,122-100-24,,
122-181-37,2018 Final,1.0,2018,122-181-37,,
123-021-04,2018 Final,1.0,2018,123-021-04,,
123-032-01,2018 Final,4.0,2018,123-032-01,,
123-032-11,2018 Final,1.0,2018,123-032-11,,
123-032-12,2018 Final,1.0,2018,123-032-12,,
123-032-13,2018 Final,3.0,2018,123-032-13,,
123-131-02,2018 Final,1.0,2018,123-131-02,,
125-382-19,2018 Final,1.0,2018,125-382-19,,
125-462-08,2018 Final,1.0,2018,125-462-08,,
126-080-25,2018 Final,1.0,2018,126-080-25,,
126-560-28,2018 Final,1.0,2018,126-560-28,,
126-560-37,2018 Final,1.0,2018,126-560-37,,
129-022-07,2018 Final,4.0,2018,129-022-07,,
129-280-12,2018 Final,4.0,2018,129-280-12,,
129-280-13,2018 Final,4.0,2018,129-280-13,,
129-280-14,2018 Final,1.0,2018,129-280-14,,
129-280-15,2018 Final,1.0,2018,129-280-15,,
129-280-16,2018 Final,1.0,2018,129-280-16,,
129-280-17,2018 Final,1.0,2018,129-280-17,,
129-280-18,2018 Final,1.0,2018,129-280-18,,
129-280-19,2018 Final,1.0,2018,129-280-19,,
129-291-03,2018 Final,1.0,2018,129-291-03,,
129-291-13,2018 Final,1.0,2018,129-291-13,,
129-291-17,2018 Final,1.0,2018,129-291-17,,
129-291-20,2018 Final,1.0,2018,129-291-20,,
129-292-01,2018 Final,1.0,2018,129-292-01,,
129-292-02,2018 Final,1.0,2018,129-292-02,,
129-292-03,2018 Final,1.0,2018,129-292-03,,
129-292-06,2018 Final,1.0,2018,129-292-06,,
129-292-07,2018 Final,1.0,2018,129-292-07,,
129-292-10,2018 Final,1.0,2018,129-292-10,,
129-292-12,2018 Final,1.0,2018,129-292-12,,
129-292-14,2018 Final,1.0,2018,129-292-14,,
129-292-17,2018 Final,1.0,2018,129-292-17,,
129-292-18,2018 Final,1.0,2018,129-292-18,,
129-292-19,2018 Final,1.0,2018,129-292-19,,
129-292-20,2018 Final,1.0,2018,129-292-20,,
129-292-22,2018 Final,1.0,2018,129-292-22,,
129-292-26,2018 Final,1.0,2018,129-292-26,,
130-312-04,2018 Final,1.0,2018,130-312-04,,
130-312-27,2018 Final,1.0,2018,130-312-27,,
1318-09-810-035,2018 Final,1.0,2018,1318-09-810-035,,
1318-10-310-010,2018 Final,4.0,2018,1318-10-310-010,,
1318-10-310-012,2018 Final,1.0,2018,1318-10-310-012,,
1318-10-310-015,2018 Final,1.0,2018,1318-10-310-015,,
1318-10-310-033,2018 Final,1.0,2018,1318-10-310-033,,
1318-10-415-062,2018 Final,1.0,2018,1318-10-415-062,,
1318-10-416-039,2018 Final,1.0,2018,1318-10-416-039,,
1318-15-601-003,2018 Final,1.0,2018,1318-15-601-003,,
1318-22-002-002,2018 Final,154.0,2018,1318-22-002-002,,
1318-23-212-005,2018 Final,1.0,2018,1318-23-212-005,,
1318-23-212-006,2018 Final,1.0,2018,1318-23-212-006,,
1318-23-710-003,2018 Final,1.0,2018,1318-23-710-003,,
1318-23-710-038,2018 Final,1.0,2018,1318-23-710-038,,
1318-23-710-039,2018 Final,1.0,2018,1318-23-710-039,,
