EntryID,EventID,EntryDate,Year,JurisdictionAbbrev,CommodityPoolID,CommodityShortName,BucketType,Quantity,MovementType,ParcelNumber,SourceSystem,SourceID,Notes
803,384,2016-04-04,2016.0,DG,,PAOT,Allocated,168.0,ALLOC,1318-00-002-010,corral_tdr,corral_tdr:384,
804,517,2016-04-14,2016.0,DG,,Hard Cover.,Existing,-1810.0,TRF,1318-22-002-103,corral_tdr,corral_tdr:517,
805,517,2016-04-14,2016.0,SLT,,Hard Cover.,Existing,1810.0,TRF,028-061-034,corral_tdr,corral_tdr:517,
806,360,2016-04-29,2016.0,DG,,SFRUU,Existing,-1.0,TRF,1318-22-002-103,corral_tdr,corral_tdr:360,
807,360,2016-04-29,2016.0,SLT,,SFRUU,Existing,1.0,TRF,030-352-023,corral_tdr,corral_tdr:360,
808,518,2016-05-04,2016.0,DG,,Hard Cover.,Existing,-122.0,TRF,1418-34-110-064,corral_tdr,corral_tdr:518,
809,518,2016-05-04,2016.0,DG,,Hard Cover.,Existing,122.0,TRF,1418-34-110-065,corral_tdr,corral_tdr:518,
810,511,2016-05-12,2016.0,,22.0,CFA,UnusedCapacity,-4025.0,ALLOC,,corral_tdr,corral_tdr:511,
811,511,2016-05-12,2016.0,SLT,,CFA,Allocated,4025.0,ALLOC,023-391-008,corral_tdr,corral_tdr:511,
812,1146,2016-05-16,2016.0,,,Pot. Cover.,Banked,-393.0,LBT,,corral_tdr,corral_tdr:1146,LandBankID=3
813,1146,2016-05-16,2016.0,WA,,Pot. Cover.,Existing,393.0,LBT,122-142-13,corral_tdr,corral_tdr:1146,
814,1178,2016-05-16,2016.0,,,Pot. Cover.,Banked,-392.0,LBT,,corral_tdr,corral_tdr:1178,LandBankID=3
815,1178,2016-05-16,2016.0,WA,,Pot. Cover.,Existing,392.0,LBT,122-142-13,corral_tdr,corral_tdr:1178,
816,363,2016-05-26,2016.0,SLT,,TAU,Existing,-20.0,TRF,032-201-013,corral_tdr,corral_tdr:363,
817,363,2016-05-26,2016.0,WA,,TAU,Existing,20.0,TRF,123-052-02,corral_tdr,corral_tdr:363,
818,370,2016-05-26,2016.0,WA,,Pot. Cover.,Existing,-1572.0,TRF,124-061-04,corral_tdr,corral_tdr:370,
819,370,2016-05-26,2016.0,WA,,Pot. Cover.,Existing,1572.0,TRF,131-014-03,corral_tdr,corral_tdr:370,
820,2457,2016-06-21,2016.0,SLT,,Hard Cover.,Existing,-95.0,Banking,027-364-015,corral_banking,corral_banking:559,
821,2457,2016-06-21,2016.0,SLT,,Hard Cover.,Banked,95.0,Banking,027-364-015,corral_banking,corral_banking:559,
822,364,2016-06-23,2016.0,SLT,,TAU,Existing,-10.0,TRF,029-441-004,corral_tdr,corral_tdr:364,
823,364,2016-06-23,2016.0,WA,,TAU,Existing,10.0,TRF,123-071-34,corral_tdr,corral_tdr:364,
824,365,2016-06-23,2016.0,SLT,,TAU,Existing,-40.0,CONVTRF,029-441-004,corral_tdr,corral_tdr:365,convert+transfer FROM
825,365,2016-06-23,2016.0,WA,,SFRUU,Existing,40.0,CONVTRF,123-071-34,corral_tdr,corral_tdr:365,convert+transfer TO
826,373,2016-06-30,2016.0,DG,,SFRUU,Existing,-1.0,TRF,1318-16-801-003,corral_tdr,corral_tdr:373,
827,373,2016-06-30,2016.0,DG,,SFRUU,Existing,1.0,TRF,1318-15-611-054,corral_tdr,corral_tdr:373,
828,374,2016-06-30,2016.0,DG,,Pot. Cover.,Existing,-1271.0,TRF,1318-15-611-053,corral_tdr,corral_tdr:374,
829,374,2016-06-30,2016.0,DG,,Pot. Cover.,Existing,1271.0,TRF,1318-15-611-054,corral_tdr,corral_tdr:374,
830,375,2016-07-01,2016.0,DG,,Pot. Cover.,Existing,-673.0,TRF,1319-19-210-003,corral_tdr,corral_tdr:375,
831,375,2016-07-01,2016.0,DG,,Pot. Cover.,Existing,673.0,TRF,1318-15-611-054,corral_tdr,corral_tdr:375,
832,394,2016-08-02,2016.0,,69.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:394,
833,394,2016-08-02,2016.0,SLT,,Res. Alloc.,Allocated,1.0,ALLOC,023-751-023,corral_tdr,corral_tdr:394,
834,395,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:395,
835,395,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,015-164-013,corral_tdr,corral_tdr:395,
836,396,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:396,
837,396,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,015-213-25,corral_tdr,corral_tdr:396,
838,397,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:397,
839,397,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,036-547-001,corral_tdr,corral_tdr:397,
840,398,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:398,
841,398,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,033-291-018,corral_tdr,corral_tdr:398,
842,399,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:399,
843,399,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,080-155-011,corral_tdr,corral_tdr:399,
844,400,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:400,
845,400,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,034-254-014,corral_tdr,corral_tdr:400,
846,401,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:401,
847,401,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,034-161-041,corral_tdr,corral_tdr:401,
848,402,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:402,
849,402,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,081-072-023,corral_tdr,corral_tdr:402,
850,403,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:403,
851,403,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,025-592-012,corral_tdr,corral_tdr:403,
852,404,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:404,
853,404,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,034-532-011,corral_tdr,corral_tdr:404,
854,405,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:405,
855,405,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,033-864-007,corral_tdr,corral_tdr:405,
856,406,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:406,
857,406,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,081-102-020,corral_tdr,corral_tdr:406,
858,407,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:407,
859,407,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,033-882-007,corral_tdr,corral_tdr:407,
860,408,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:408,
861,408,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,014-284-005,corral_tdr,corral_tdr:408,
862,409,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:409,
863,409,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,033-631-028,corral_tdr,corral_tdr:409,
864,410,2016-08-03,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:410,
865,410,2016-08-03,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,035-241-003,corral_tdr,corral_tdr:410,
866,413,2016-08-05,2016.0,,69.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:413,
867,413,2016-08-05,2016.0,SLT,,Res. Alloc.,Allocated,1.0,ALLOC,032-141-012,corral_tdr,corral_tdr:413,
868,414,2016-08-05,2016.0,,69.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:414,
869,414,2016-08-05,2016.0,SLT,,Res. Alloc.,Allocated,1.0,ALLOC,032-141-012,corral_tdr,corral_tdr:414,
870,415,2016-08-05,2016.0,,69.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:415,
871,415,2016-08-05,2016.0,SLT,,Res. Alloc.,Allocated,1.0,ALLOC,032-141-012,corral_tdr,corral_tdr:415,
872,1226,2016-08-08,2016.0,,,Soft Cover.,Banked,-790.0,LBT,,corral_tdr,corral_tdr:1226,LandBankID=3
873,1226,2016-08-08,2016.0,DG,,Soft Cover.,Existing,790.0,LBT,1318-23-710-046,corral_tdr,corral_tdr:1226,
874,1214,2016-08-09,2016.0,,,Soft Cover.,Banked,-874.0,LBT,,corral_tdr,corral_tdr:1214,LandBankID=3
875,1214,2016-08-09,2016.0,DG,,Soft Cover.,Existing,874.0,LBT,1318-23-710-046,corral_tdr,corral_tdr:1214,
876,509,2016-08-16,2016.0,,17.0,CFA,UnusedCapacity,-600.0,ALLOC,,corral_tdr,corral_tdr:509,
877,509,2016-08-16,2016.0,SLT,,CFA,Allocated,600.0,ALLOC,032-314-037,corral_tdr,corral_tdr:509,
878,510,2016-08-16,2016.0,,1.0,CFA,UnusedCapacity,-970.0,ALLOC,,corral_tdr,corral_tdr:510,
879,510,2016-08-16,2016.0,SLT,,CFA,Allocated,970.0,ALLOC,026-086-011,corral_tdr,corral_tdr:510,
880,391,2016-08-17,2016.0,SLT,,SFRUU,Existing,-1.0,TRF,029-170-002,corral_tdr,corral_tdr:391,
881,391,2016-08-17,2016.0,SLT,,SFRUU,Existing,1.0,TRF,022-171-033,corral_tdr,corral_tdr:391,
882,371,2016-08-19,2016.0,SLT,,SFRUU,Existing,-1.0,TRF,023-191-007,corral_tdr,corral_tdr:371,
883,371,2016-08-19,2016.0,SLT,,SFRUU,Existing,1.0,TRF,031-045-008,corral_tdr,corral_tdr:371,
884,372,2016-08-19,2016.0,SLT,,TAU,Existing,-1.0,CONVTRF,023-191-007,corral_tdr,corral_tdr:372,convert+transfer FROM
885,372,2016-08-19,2016.0,SLT,,SFRUU,Existing,1.0,CONVTRF,026-221-013,corral_tdr,corral_tdr:372,convert+transfer TO
886,2397,2016-08-19,2016.0,SLT,,Pot. Cover.,Existing,-388.0,TRF,023-141-005,corral_tdr,corral_tdr:2397,
887,2397,2016-08-19,2016.0,SLT,,Pot. Cover.,Existing,388.0,TRF,031-045-008,corral_tdr,corral_tdr:2397,
888,2395,2016-08-22,2016.0,SLT,,Pot. Cover.,Existing,-46.0,TRF,023-141-005,corral_tdr,corral_tdr:2395,
889,2395,2016-08-22,2016.0,SLT,,Pot. Cover.,Existing,46.0,TRF,026-221-013,corral_tdr,corral_tdr:2395,
890,431,2016-08-24,2016.0,,70.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:431,
891,431,2016-08-24,2016.0,DG,,Res. Alloc.,Allocated,1.0,ALLOC,1318-10-414-001,corral_tdr,corral_tdr:431,
892,411,2016-09-01,2016.0,SLT,,SFRUU,Existing,-1.0,TRF,026-154-012,corral_tdr,corral_tdr:411,
893,411,2016-09-01,2016.0,SLT,,SFRUU,Existing,1.0,TRF,023-653-024,corral_tdr,corral_tdr:411,
894,382,2016-09-08,2016.0,PL,,SFRUU,Existing,-1.0,TRF,090-222-051,corral_tdr,corral_tdr:382,
895,382,2016-09-08,2016.0,PL,,SFRUU,Existing,1.0,TRF,090-092-050,corral_tdr,corral_tdr:382,
896,383,2016-09-08,2016.0,PL,,PRUU,Existing,-1.0,TRF,112-180-015,corral_tdr,corral_tdr:383,
897,383,2016-09-08,2016.0,PL,,PRUU,Existing,1.0,TRF,090-092-050,corral_tdr,corral_tdr:383,
898,512,2016-09-08,2016.0,,22.0,CFA,UnusedCapacity,-4621.0,ALLOC,,corral_tdr,corral_tdr:512,
899,512,2016-09-08,2016.0,SLT,,CFA,Allocated,4621.0,ALLOC,023-393-17,corral_tdr,corral_tdr:512,
900,513,2016-09-08,2016.0,,22.0,CFA,UnusedCapacity,-6170.0,ALLOC,,corral_tdr,corral_tdr:513,
901,513,2016-09-08,2016.0,SLT,,CFA,Allocated,6170.0,ALLOC,023-191-007,corral_tdr,corral_tdr:513,
902,388,2016-09-12,2016.0,EL,,Hard Cover.,Existing,-360.0,TRF,032-050-078,corral_tdr,corral_tdr:388,
903,388,2016-09-12,2016.0,EL,,Hard Cover.,Existing,360.0,TRF,016-513-012,corral_tdr,corral_tdr:388,
904,889,2016-09-16,2016.0,,72.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:889,
905,889,2016-09-16,2016.0,PL,,Res. Alloc.,Allocated,1.0,ALLOC,084-051-027,corral_tdr,corral_tdr:889,
906,2400,2016-09-19,2016.0,SLT,,Pot. Cover.,Existing,-299.0,TRF,023-141-005,corral_tdr,corral_tdr:2400,
907,2400,2016-09-19,2016.0,SLT,,Pot. Cover.,Existing,299.0,TRF,031-204-002,corral_tdr,corral_tdr:2400,
908,433,2016-09-23,2016.0,SLT,,SFRUU,Existing,-1.0,TRF,029-332-007,corral_tdr,corral_tdr:433,
909,433,2016-09-23,2016.0,SLT,,SFRUU,Existing,1.0,TRF,031-204-002,corral_tdr,corral_tdr:433,
910,378,2016-09-27,2016.0,EL,,Pot. Cover.,Existing,-674.0,TRF,016-101-073,corral_tdr,corral_tdr:378,
911,378,2016-09-27,2016.0,EL,,Pot. Cover.,Existing,674.0,TRF,016-513-012,corral_tdr,corral_tdr:378,
912,437,2016-10-03,2016.0,SLT,,TAU,Existing,-1.0,CONVTRF,023-191-007,corral_tdr,corral_tdr:437,convert+transfer FROM
913,437,2016-10-03,2016.0,SLT,,SFRUU,Existing,1.0,CONVTRF,025-021-080,corral_tdr,corral_tdr:437,convert+transfer TO
914,910,2016-10-03,2016.0,,72.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:910,
915,910,2016-10-03,2016.0,PL,,Res. Alloc.,Allocated,1.0,ALLOC,112-220-034,corral_tdr,corral_tdr:910,
916,915,2016-10-03,2016.0,,72.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:915,
917,915,2016-10-03,2016.0,PL,,Res. Alloc.,Allocated,1.0,ALLOC,090-213-023,corral_tdr,corral_tdr:915,
918,1336,2016-10-03,2016.0,,72.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:1336,
919,1336,2016-10-03,2016.0,PL,,Res. Alloc.,Allocated,1.0,ALLOC,092-100-004,corral_tdr,corral_tdr:1336,
