Lost_APN,Issue_Category,Years_Lost,Total_Units_CSV,Match_Source,Candidate_New_APN,Match_Type,Already_In_Tahoe,Action
129-280-13,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,KK,129-301-02,kk_rename,NO,NEEDS_CHANGE_YEAR
084-172-005,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,ACCELA,084-172-007,accela_rename,NO,NEEDS_CHANGE_YEAR
084-172-005,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,KK,084-172-007,kk_rename,NO,NEEDS_CHANGE_YEAR
084-172-005,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,KK,084-172-007,kk_rename,NO,NEEDS_CHANGE_YEAR
084-172-005,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,ACCELA,084-172-007,accela_rename,NO,NEEDS_CHANGE_YEAR
084-172-005,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,KK,084-172-007,kk_rename,NO,NEEDS_CHANGE_YEAR
084-172-005,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,KK,084-172-007,kk_rename,NO,NEEDS_CHANGE_YEAR
084-191-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",18,ACCELA,084-191-003,accela_rename,NO,NEEDS_CHANGE_YEAR
084-191-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",18,KK,084-191-003,kk_rename,NO,NEEDS_CHANGE_YEAR
084-191-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",18,KK,084-191-003,kk_rename,NO,NEEDS_CHANGE_YEAR
084-191-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",18,ACCELA,084-191-003,accela_rename,NO,NEEDS_CHANGE_YEAR
084-191-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",18,KK,084-191-003,kk_rename,NO,NEEDS_CHANGE_YEAR
084-191-001,PARCEL_SPLIT,"[2020, 2021, 2022, 2023, 2024, 2025]",18,KK,084-191-003,kk_rename,NO,NEEDS_CHANGE_YEAR
097-092-003,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,ACCELA,097-092-014,accela_rename,NO,NEEDS_CHANGE_YEAR
097-092-003,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,KK,097-092-014,kk_rename,NO,NEEDS_CHANGE_YEAR
097-092-003,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,ACCELA,097-092-014,accela_rename,NO,NEEDS_CHANGE_YEAR
097-092-003,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,KK,097-092-014,kk_rename,NO,NEEDS_CHANGE_YEAR
025-010-007,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,ACCELA,025-010-007,accela_rename,NO,NEEDS_CHANGE_YEAR
025-010-007,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,025-010-007,kk_rename,NO,NEEDS_CHANGE_YEAR
