Lost_APN,Candidate_New_APN,Issue_Category,Match_Source,Match_Type,Total_Units_CSV,FC_Last_Year_Old,FC_First_Year_New,Suggested_Change_Year,Confidence,In_FC_Old,In_FC_New,Promote_Ready,old_apn,new_apn,change_year,change_type,is_primary,year_source,source,fc_last_year,fc_new_first,Old_Unit_Years,New_Unit_Years,Status
028-301-006,028-301-068,PARCEL_NEW,ACCELA,accela_rename,8,2017.0,2018.0,2018,HIGH,1,1,YES,028-301-006,028-301-068,2018,rename,1,fc_last_old+1,ACCELA,2017.0,2018.0,[],[],TRUE_GAP
034-734-026,034-734-028,PARCEL_NEW,KK,kk_rename,8,2016.0,2017.0,2017,HIGH,1,1,YES,034-734-026,034-734-028,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,[],[],TRUE_GAP
027-313-002,027-313-016,PARCEL_NEW,KK,kk_rename,8,2016.0,2017.0,2017,HIGH,1,1,YES,027-313-002,027-313-016,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,[],[],TRUE_GAP
025-225-014,025-225-031,PARCEL_NEW,KK,kk_rename,8,2016.0,2017.0,2017,HIGH,1,1,YES,025-225-014,025-225-031,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,[],[],TRUE_GAP
035-301-001,035-301-009,PARCEL_NEW,KK,kk_rename,8,2015.0,2016.0,2016,HIGH,1,1,YES,035-301-001,035-301-009,2016,rename,1,fc_last_old+1,KK,2015.0,2016.0,[],[],TRUE_GAP
117-180-037,117-180-065,PARCEL_SPLIT,ACCELA,accela_rename,8,2017.0,2018.0,2018,HIGH,1,1,YES,117-180-037,117-180-065,2018,rename,1,fc_last_old+1,ACCELA,2017.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1318-10-416-039,1318-10-416-063,PARCEL_SPLIT,ACCELA,accela_rename,8,2017.0,2018.0,2018,HIGH,1,1,YES,1318-10-416-039,1318-10-416-063,2018,rename,1,fc_last_old+1,ACCELA,2017.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1418-22-611-027,1418-22-611-028,PARCEL_SPLIT,ACCELA,accela_rename,8,2017.0,2018.0,2018,HIGH,1,1,YES,1418-22-611-027,1418-22-611-028,2018,rename,1,fc_last_old+1,ACCELA,2017.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
092-152-015,092-152-038,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,092-152-015,092-152-038,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-160-016,093-160-082,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2018.0,2018,MEDIUM_OFFBYONE,1,1,YES,093-160-016,093-160-082,2018,rename,1,fc_first_new,KK,2018.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
090-292-003,090-292-013,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2018.0,2018,MEDIUM_OFFBYONE,1,1,YES,090-292-003,090-292-013,2018,rename,1,fc_first_new,KK,2018.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
112-190-042,112-190-067,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2018.0,2018,MEDIUM_OFFBYONE,1,1,YES,112-190-042,112-190-067,2018,rename,1,fc_first_new,KK,2018.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1318-23-710-039,1318-23-710-097,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2018.0,2018,MEDIUM_OFFBYONE,1,1,YES,1318-23-710-039,1318-23-710-097,2018,rename,1,fc_first_new,KK,2018.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1318-23-710-038,1318-23-710-096,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2018.0,2018,MEDIUM_OFFBYONE,1,1,YES,1318-23-710-038,1318-23-710-096,2018,rename,1,fc_first_new,KK,2018.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
123-131-02,123-131-08,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2018.0,2018,MEDIUM_OFFBYONE,1,1,YES,123-131-02,123-131-08,2018,rename,1,fc_first_new,KK,2018.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
115-060-018,115-060-022,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2018.0,2018,MEDIUM_OFFBYONE,1,1,YES,115-060-018,115-060-022,2018,rename,1,fc_first_new,KK,2018.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
090-271-015,090-262-016,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,090-271-015,090-262-016,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
025-735-006,025-735-012,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,025-735-006,025-735-012,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,[],[],TRUE_GAP
035-283-018,035-283-038,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,035-283-018,035-283-038,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,[],[],TRUE_GAP
027-313-013,027-313-017,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,027-313-013,027-313-017,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,[],[],TRUE_GAP
035-283-022,035-283-037,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,035-283-022,035-283-037,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,[],[],TRUE_GAP
015-370-023,015-370-028,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,015-370-023,015-370-028,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,[],[],TRUE_GAP
015-370-022,015-370-027,PARCEL_SPLIT,KK,kk_rename,7,2017.0,2019.0,2018,MEDIUM_OFFBYONE,1,1,YES,015-370-022,015-370-027,2018,rename,1,fc_first_new,KK,2017.0,2019.0,[],"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
090-134-039,090-134-061,PARCEL_SPLIT,ACCELA,accela_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,090-134-039,090-134-061,2019,rename,1,fc_last_old+1,ACCELA,2018.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
090-232-026,090-232-034,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,090-232-026,090-232-034,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
084-052-010,084-052-013,PARCEL_SPLIT,KK,kk_rename,7,2018.0,2019.0,2019,HIGH,1,1,YES,084-052-010,084-052-013,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
098-010-037,098-010-042,PARCEL_SPLIT,ACCELA,accela_rename,6,2020.0,2020.0,2020,MEDIUM_OFFBYONE,1,1,YES,098-010-037,098-010-042,2020,rename,1,fc_first_new,ACCELA,2020.0,2020.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1418-27-210-031,1418-27-210-036,PARCEL_SPLIT,KK,kk_rename,6,2016.0,2017.0,2017,HIGH,1,1,YES,1418-27-210-031,1418-27-210-036,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,[],"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
092-234-012,092-234-024,PARCEL_SPLIT,KK,kk_rename,6,2019.0,2019.0,2019,MEDIUM_OFFBYONE,1,1,YES,092-234-012,092-234-024,2019,rename,1,fc_first_new,KK,2019.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
027-143-013,027-143-027,PARCEL_SPLIT,KK,kk_rename,6,2022.0,2023.0,2023,HIGH,1,1,YES,027-143-013,027-143-027,2023,rename,1,fc_last_old+1,KK,2022.0,2023.0,[],[],TRUE_GAP
080-192-033,080-192-034,PARCEL_SPLIT,KK,kk_rename,6,2019.0,2019.0,2019,MEDIUM_OFFBYONE,1,1,YES,080-192-033,080-192-034,2019,rename,1,fc_first_new,KK,2019.0,2019.0,[],[],TRUE_GAP
090-073-019,090-073-021,PARCEL_SPLIT,ACCELA,accela_rename,6,2020.0,2020.0,2020,MEDIUM_OFFBYONE,1,1,YES,090-073-019,090-073-021,2020,rename,1,fc_first_new,ACCELA,2020.0,2020.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
027-313-006,027-313-16,PARCEL_NEW,ACCELA,accela_rename,5,2016.0,2018.0,2017,MEDIUM_OFFBYONE,1,1,YES,027-313-006,027-313-16,2017,rename,1,fc_first_new,ACCELA,2016.0,2018.0,[],"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
090-223-008,090-223-047,PARCEL_SPLIT,KK,kk_rename,5,2016.0,2017.0,2017,HIGH,1,1,YES,090-223-008,090-223-047,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,[],[],TRUE_GAP
090-223-008,090-223-046,PARCEL_SPLIT,KK,kk_rename,5,2016.0,2017.0,2017,HIGH,1,1,YES,090-223-008,090-223-046,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,[],"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
090-224-012,090-233-036,PARCEL_SPLIT,KK,kk_rename,5,2018.0,2019.0,2019,HIGH,1,1,YES,090-224-012,090-233-036,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,[],"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
094-150-007,094-520-015,PARCEL_SPLIT,ACCELA,accela_rename,5,2017.0,2018.0,2018,HIGH,1,1,YES,094-150-007,094-520-015,2018,rename,1,fc_last_old+1,ACCELA,2017.0,2018.0,[],"['2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
117-100-016,117-100-091,PARCEL_SPLIT,ACCELA,accela_rename,5,2020.0,2021.0,2021,HIGH,1,1,YES,117-100-016,117-100-091,2021,rename,1,fc_last_old+1,ACCELA,2020.0,2021.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
