APN,ParcelTrackerNotes
1418-34-110-003,
1418-34-110-010,
1418-34-401-010,
1418-34-401-011,
090-231-036,
090-292-003,"NOTE: This parcel is part of a project area that includes APNs 090-292-003 and 090-292-010. All area, coverage and development rights for both parcels are shown here."
092-190-052,"NOTE: Parcel is part of a deed restricted ""project area"" for the purposes of land coverage calculation. The project area includes APNs 092-200-27 092-190-065 & 092-190-052. The maximum allowable coverage in the project area for all parcels combined is 23,967 sf; the maximum allowable coverage for APN 092-190-052 is 4,448 sf on-site and 1,017 sf off-site.
NOTE: This parcel number will change when the Lot Line Adjustment (TRPA file #LLAD2018-0313) has processed through the Placer County Assessor's Office; however, the parcel size, land class sizes, and maximum allowable coverage will be the same on the new APN."
093-042-021,"New APN: 093-042-043 (portion of abandoned alley at rear of parcel was split off of 093-042-018 and added to 093-042-021 to form a new APN).
Previous APN: 093-042-018 (lot 21A was split off to form 093-042-021; the abandoned alley at the rear of 093-042-018 remains part of 093-042-018; the original Lot 21A is all that split off)."
093-042-022,
093-160-016,Also see 093-194-001 for associated sliver parcel.
097-192-001,New APN: 097-192-010 (parcel was combined with 097-183-003 to form 097-192-010).
112-190-042,
115-030-035,NOTE: A portion of the Bay Street right of way easement was formally abandoned by Placer County and approved by the TRPA (LLAD2018-0544). 796 sf of the land area from the Bay Street easement was relocated onto APN 115-030-035.
115-060-018,
117-180-037,"SEE 117-180-065 FOR LCC RESULTS OF COMBINED PARCELS 117-180-037 & 038.

Previous APN: 117-180-26 (parcel was split to form 117-180-037 & 117-180-038)"
123-131-02,
124-860-01,
124-860-02,
124-860-03,
125-462-08,New APN: 125-462-10 (APN's 125-462-07 & 125-462-08 were merged)
126-560-28,New APN: 126-560-42 (minor boundary line change between common area [126-540-33] and 126-560-28 resulted in new APN)
1318-10-310-012,"New APN: 1318-10-310-079
Previous APN: 005-090-06"
1318-10-415-062,
1318-10-416-039,
1318-23-710-038,
1318-23-710-039,
1318-25-110-010,NOTE: This parcel is part of the Edgewood Creek Estates subdivision.
1319-19-710-031,
1319-19-710-032,
1418-10-702-007,
1418-11-311-004,"New APN: 1418-11-311-015 (parcels 1418-11-311-004 & 1418-11-311-005 were merged).
NOTE: This parcel is part of the Glenbrook Unit No. 2-B Subdivision."
1418-22-611-027,
1418-34-201-001,"NOTE: This parcel is part of a project area for land coverage and has been deed restricted with 1418-34-201-001 (now APN 1418-34-201-010). Parcel area, land capability, existing & banked coverage, and existing & banked development rights for both parcels have been combined and are shown on 1418-34-201-010."
1418-34-201-005,New APN: 1418-34-201-008 (change in boundary between 1418-34-201-006 and -005 between the high and low water lines created two new APNs).
1418-34-201-006,"New APN: 1418-34-201-009 (change in boundary between 1418-34-201-005 and -006 between the high and low water lines created two new APNs).
NOTE: This parcel is part of a project area for land coverage and has been deed restricted with 1418-34-201-001."
1418-34-210-007,
015-370-023,
016-101-014,
025-735-006,
027-313-013,
035-283-018,
035-283-022,
080-162-017,
083-074-003,NOTE: APNs 083-074-003 & 083-074-004 are owned by the same parties and share coverage across the parcel boundary. The excess coverage calculations for both parcels have been combined and the total is shown in the EXISTING INVENTORY field below.
084-052-010,"NOTE: The parcel area excludes the area associated with ""Highway Easement 1443 or 395"" on the northern boundary of the parcel. This area is subtracted from the parcel size and is not calculated into the base allowable coverage. Also, the 269 sf of coverage associated with the easement is not counted against the parcel (43 sf on APN 084-052-011; 223 sf on APN 084-052-010).

NOTE: This parcel is located within the FEMA 100-year floodplain limits.

"
090-030-044,
090-222-060,"Previous APN's: 090-222-008, 090-222-013 & 090-090-222-007 (parcels were merged and lot line was adjusted with an adjacent parcel [now 090-222-060])"
090-232-026,
090-262-013,
090-271-015,
092-152-015,
092-234-012,
098-164-009,
