Lost_APN,Candidate_New_APN,Confidence,FC_Last_Year_Old,FC_First_Year_New,Suggested_Change_Year,Total_Units_CSV,Match_Source,Issue_Category
029-630-14,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-13,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-09,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-11,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-10,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-08,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-07,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-06,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-02,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-05,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
112-190-066,112-190-062,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-01,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-28,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-03,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-21,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-16,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
112-180-078,112-180-038,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-24,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-27,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-25,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-23,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-22,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-26,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-20,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-18,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
035-301-01,035-301-009,MEDIUM_NEW_ONLY,,2016,2016,2,KK,PARCEL_SPLIT
098-167-019,098-167-017,MEDIUM_OLD_ONLY,2025,,2026,2,KK,PARCEL_SPLIT
094-102-024,094-102-021,MEDIUM_GAP,2025,2012,2012,2,KK,PARCEL_SPLIT
036-530-27,036-530-23,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-19,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-17,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
016-211-16,016-211-14,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
034-722-44,034-722-05,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
