APN,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
029-441-18,110,110,110,110,110,110,,,,,,,,
029-480-004,,,,,,,449,449,449,449,449,449,449,449
029-480-04,449,449,449,449,449,449,,,,,,,,
029-490-004,,,,,,,332,332,332,332,332,332,332,332
029-490-04,332,332,332,332,332,332,,,,,,,,
029-602-01,,90,90,,,,,,,,,,,
029-602-13,90,,,90,90,77,,,,,,,,
029-602-013,,,,,,,77,82,82,82,82,82,82,82
029-610-003,,,,,,,22,22,22,22,22,22,22,22
029-610-018,,,,,,,12,12,12,12,12,12,12,12
029-610-021,,,,,,,43,43,43,43,43,43,43,43
029-610-024,,,,,,,100,100,100,100,100,100,100,100
029-610-025,,,,,,,39,39,39,39,39,39,39,39
029-610-03,22,22,22,22,22,22,,,,,,,,
029-610-18,12,12,12,12,12,12,,,,,,,,
029-610-21,43,43,43,43,43,43,,,,,,,,
029-610-24,100,100,100,100,100,100,,,,,,,,
029-610-25,39,39,39,39,39,39,,,,,,,,
029-641-002,,,,,,,32,32,32,32,32,32,32,32
031-062-001,,,,,,,15,15,15,15,15,15,15,15
031-062-002,,,,,,,15,15,15,15,15,15,15,15
031-062-01,15,15,15,15,15,15,,,,,,,,
031-062-02,15,15,15,15,15,15,,,,,,,,
031-072-001,,,,,,,8,8,8,8,8,8,8,8
031-072-01,8,8,8,8,8,8,,,,,,,,
031-085-021,,,,,,,28,28,28,28,28,28,28,28
031-085-21,28,28,28,28,28,28,,,,,,,,
031-241-016,,,,,,,18,18,18,18,18,18,18,18
031-241-017,,,,,,,10,10,10,10,10,10,10,10
031-241-16,18,18,18,18,18,18,,,,,,,,
031-241-17,10,10,10,10,10,10,,,,,,,,
031-254-031,,,,,,,14,14,14,14,14,14,14,14
031-254-31,14,14,14,14,14,14,,,,,,,,
031-257-007,,,,,,,64,64,64,64,64,64,64,0
031-257-07,64,64,64,64,64,64,,,,,,,,
031-290-039,,,,,,,141,141,141,141,141,141,141,
031-290-39,141,141,141,141,141,141,,,,,,,,
032-130-008,,,,,,,71,71,71,71,71,71,71,71
032-130-08,71,71,71,71,71,71,,,,,,,,
032-141-027,,,,,,,10,10,10,10,10,10,10,10
032-141-03,9,9,9,0,0,0,0,0,0,0,0,0,0,0
032-141-27,10,10,10,10,10,10,,,,,,,,
032-151-002,,,,,,,14,14,14,14,14,14,14,14
032-151-02,14,14,14,14,14,14,,,,,,,,
