Building_ID,APN,APN_canon,Square_Feet,Original_Year_Built,Feature,Surface,Parcel_Acres,Residential_Units,Units_Assigned,COUNTY,JURISDICTION
19181,028-301-051,028-301-051,1180.95,1980,Building,Hard,0.0459641025716405,1.0,1,EL,CSLT
19182,027-155-019,027-155-019,1650.15,1961,Building,Hard,0.1152408334080418,2.0,2,EL,CSLT
19183,028-301-023,028-301-023,1139.96,1973,Building,Hard,0.0460285811251675,1.0,1,EL,CSLT
19184,028-152-024,028-152-024,2460.98,1978,Building,Hard,0.2897064923988145,1.0,1,EL,CSLT
19185,028-163-009,028-163-009,1191.97,1974,Building,Hard,0.3335603080794554,1.0,1,EL,CSLT
19186,027-203-013,027-203-013,1645.03,1954,Building,Hard,0.2413775897372109,1.0,1,EL,CSLT
19187,027-311-024,027-311-024,1283.45,1952,Building,Hard,0.1150434223971961,0.0,0,EL,CSLT
19188,027-153-004,027-153-004,1456.55,1947,Building,Hard,0.1147801245988011,1.0,1,EL,CSLT
19189,027-203-002,027-203-002,1239.03,1977,Building,Hard,0.2340005433033786,1.0,1,EL,CSLT
19190,028-241-001,028-241-001,2808.32,,Building,Hard,4.068418525489089,1.0,0,EL,CSLT
19191,028-180-034,028-180-034,1350.64,1958,Building,Hard,0.2737228953705397,1.0,1,EL,CSLT
19192,027-125-030,027-125-030,1273.2,1973,Building,Hard,0.1152401530075234,2.0,2,EL,CSLT
19193,027-354-012,027-354-012,2091.55,1961,Building,Hard,0.2010183969078047,1.0,1,EL,CSLT
19194,027-202-005,027-202-005,826.78,1952,Building,Hard,0.2186167075320093,1.0,1,EL,CSLT
19195,027-153-012,027-153-012,1767.44,1940,Building,Hard,0.1152157477751725,2.0,2,EL,CSLT
19196,028-301-068,028-301-068,589.91,1979,Building,Hard,0.0459652382004307,1.0,1,EL,CSLT
19197,027-357-004,027-357-004,1530.57,1954,Building,Hard,0.199859277289831,1.0,1,EL,CSLT
19198,027-354-016,027-354-016,1907.52,1960,Building,Hard,0.1703737343938674,1.0,1,EL,CSLT
19199,027-354-014,027-354-014,2366.46,1972,Building,Hard,0.1722994366728717,1.0,1,EL,CSLT
19200,028-301-022,028-301-022,886.0,1977,Building,Hard,0.0457528583685753,1.0,1,EL,CSLT
19201,027-205-008,027-205-008,1045.43,1959,Building,Hard,0.2712979849162263,10.0,3,EL,CSLT
19202,027-153-028,027-153-028,874.61,1976,Building,Hard,0.1152168094513822,1.0,1,EL,CSLT
19203,027-125-022,027-125-022,1071.63,1968,Building,Hard,0.1152153892652696,2.0,2,EL,CSLT
19204,027-125-021,027-125-021,887.14,1959,Building,Hard,0.1152160677933425,1.0,1,EL,CSLT
19205,027-125-012,027-125-012,1712.78,1970,Building,Hard,0.1152156480520757,2.0,2,EL,CSLT
19206,027-311-023,027-311-023,978.24,1950,Building,Hard,0.115043719691074,2.0,2,EL,CSLT
19207,027-155-023,027-155-023,1861.97,1963,Building,Hard,0.1152168094447218,2.0,2,EL,CSLT
19208,027-205-003,027-205-003,999.88,1954,Building,Hard,0.2787369914262489,1.0,1,EL,CSLT
19209,028-301-050,028-301-050,1916.63,1973,Building,Hard,0.0457759448649497,1.0,1,EL,CSLT
19210,028-152-011,028-152-011,2047.59,1977,Building,Hard,0.3475180581188745,1.0,1,EL,CSLT
19211,027-153-027,027-153-027,153.74,1965,Building,Hard,0.2295228403475614,5.0,0,EL,CSLT
19212,027-354-009,027-354-009,1805.02,1957,Building,Hard,0.1796101786633112,1.0,1,EL,CSLT
19213,027-352-004,027-352-004,2191.08,1959,Building,Hard,0.177507300674142,1.0,1,EL,CSLT
19214,027-125-007,027-125-007,791.48,1959,Building,Hard,0.1142304606598788,1.0,1,EL,CSLT
19215,028-241-001,028-241-001,3676.1,,Building,Hard,4.068418525489089,1.0,0,EL,CSLT
19216,028-162-034,028-162-034,2365.32,1971,Building,Hard,0.28425748685907,1.0,1,EL,CSLT
19217,027-151-035,027-151-035,930.41,1941,Building,Hard,0.2211054276294327,2.0,1,EL,CSLT
19218,027-156-018,027-156-018,536.38,1940,Building,Hard,0.2304814793890578,1.0,1,EL,CSLT
19219,027-201-005,027-201-005,835.22,1949,Building,Hard,0.216816430344274,1.0,1,EL,CSLT
19220,027-125-011,027-125-011,1792.5,1962,Building,Hard,0.1142300409277118,2.0,2,EL,CSLT
19221,027-153-035,027-153-035,1010.13,1952,Building,Hard,0.1143300622010093,1.0,1,EL,CSLT
19222,028-301-049,028-301-049,1343.8,1979,Building,Hard,0.0461658614494843,1.0,1,EL,CSLT
19223,028-163-003,028-163-003,2396.07,1972,Building,Hard,0.6098168076546518,1.0,1,EL,CSLT
19224,028-152-013,028-152-013,2364.18,1973,Building,Hard,0.2738543821894421,1.0,1,EL,CSLT
