ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt,ReportingYear,SweepCampaign,CorrectionCategory,CorrectionCategoryCanonical,SummaryReason,SourceFileSnapshot,LoadedAt,LoadedDate
29,015-032-29,015-032-029,SFRUU_or_MFRUU_TBD,2023,,,2,qa_correction,Parcel Number Only,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Correction Based on County Data,False,Parcel Number Only,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
30,015-033-23,015-033-023,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Additional Unit(s) Removed in 2026,True,County shows 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
31,015-034-12,015-034-012,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 2 units onsite,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Not Previously Counted - Added in 2026,True,County Shows 2 units onsite,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
32,015-034-19,015-034-019,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 2 units onsite,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Not Previously Counted - Added in 2026,True,County Shows 2 units onsite,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
33,015-061-10,015-061-010,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 3 units onsite,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Not Previously Counted - Added in 2026,True,County Shows 3 units onsite,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
34,015-062-13,015-062-013,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
35,015-063-20,015-063-020,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
36,015-064-01,015-064-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 3 units,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Over-Correction,False,Error - should be 3 units,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
37,015-064-01,015-064-001,SFRUU_or_MFRUU_TBD,2026,,,2,qa_correction,County Shows 3 units onsite,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Incorrectly Removed in 2023 - Unit(s) Added Back in 2026,True,County Shows 3 units onsite,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
38,015-064-16,015-064-016,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 2 units onsite,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Not Previously Counted - Added in 2026,True,County Shows 2 units onsite,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
