APN,YEAR,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,COUNTY,JURISDICTION,PARCEL_ACRES,APN_canon,OriginalYrBuilt,OriginalYrBuilt_source_APN,match_method,CountyYearBuilt,COMBINED_YEAR_BUILT,combined_source
093-500-060,2025,0,0,0.0,PL,PL,0.0162346890937417,093-500-060,1991.0,093-500-060,direct,,1991.0,original
093-500-055,2025,0,0,0.0,PL,PL,0.0160230980786622,093-500-055,1962.0,093-500-055,direct,,1962.0,original
093-500-038,2025,0,0,0.0,PL,PL,0.0156337108305342,093-500-038,1977.0,093-500-38,direct,,1977.0,original
093-500-059,2025,0,0,0.0,PL,PL,0.0162333912985838,093-500-059,1991.0,093-500-059,direct,,1991.0,original
093-500-044,2025,0,0,0.0,PL,PL,0.0154962554998695,093-500-044,1980.0,093-500-44,direct,,1980.0,original
093-500-054,2025,0,0,0.0,PL,PL,0.0160913220677526,093-500-054,2005.0,093-500-054,direct,,2005.0,original
093-500-037,2025,0,0,0.0,PL,PL,0.0156134488073056,093-500-037,1978.0,093-500-037,direct,,1978.0,original
093-500-049,2025,0,0,0.0,PL,PL,0.0155551302403786,093-500-049,1981.0,093-500-49,direct,,1981.0,original
093-500-043,2025,0,0,0.0,PL,PL,0.015487891210149,093-500-043,1983.0,093-500-43,direct,,1983.0,original
093-500-053,2025,0,0,0.0,PL,PL,0.0161319399256057,093-500-053,1989.0,093-500-053,direct,,1989.0,original
093-500-036,2025,0,0,0.0,PL,PL,0.015605644085611,093-500-036,1979.0,093-500-36,direct,,1979.0,original
093-500-042,2025,0,0,0.0,PL,PL,0.0154666164661327,093-500-042,1979.0,093-500-42,direct,,1979.0,original
093-500-035,2025,0,0,0.0,PL,PL,0.0106895180586409,093-500-035,1976.0,093-500-35,direct,,1976.0,original
093-500-010,2025,0,0,0.0,PL,PL,0.0112014835215162,093-500-010,1963.0,093-500-10,direct,,1963.0,original
094-420-001,2025,0,0,0.0,PL,PL,0.0309465174039721,094-420-001,2002.0,094-420-001,direct,,2002.0,original
094-420-004,2025,0,0,0.0,PL,PL,0.0308650160122478,094-420-004,1973.0,094-420-04,direct,,1973.0,original
094-420-005,2025,0,0,0.0,PL,PL,0.0308409675066397,094-420-005,1978.0,094-420-005,direct,,1978.0,original
094-420-008,2025,0,0,0.0,PL,PL,0.0308478314614764,094-420-008,1986.0,094-420-008,direct,,1986.0,original
093-570-012,2025,0,0,0.0,PL,PL,0.0371488306413549,093-570-012,1978.0,093-570-012,direct,1978.0,1978.0,original
093-570-013,2025,0,0,0.0,PL,PL,0.0337941917654747,093-570-013,1978.0,093-570-013,direct,1978.0,1978.0,original
093-500-041,2025,0,0,0.0,PL,PL,0.0157422229689222,093-500-041,1974.0,093-500-41,direct,,1974.0,original
093-500-064,2025,0,0,0.0,PL,PL,0.0162529432153289,093-500-064,1997.0,093-500-64,direct,,1997.0,original
117-240-001,2025,0,0,0.0,PL,PL,0.0546549401651565,117-240-001,2003.0,117-240-001,direct,2003.0,2003.0,original
117-240-003,2025,0,0,0.0,PL,PL,0.0461624918942022,117-240-003,2003.0,117-240-003,direct,2003.0,2003.0,original
117-240-018,2025,0,0,0.0,PL,PL,0.0343240164459984,117-240-018,2003.0,117-240-018,direct,2003.0,2003.0,original
117-240-004,2025,0,0,0.0,PL,PL,0.0574839356488623,117-240-004,2003.0,117-240-004,direct,2003.0,2003.0,original
117-240-014,2025,0,0,0.0,PL,PL,0.0380146303484341,117-240-014,2003.0,117-240-014,direct,2003.0,2003.0,original
117-240-008,2025,0,0,0.0,PL,PL,0.052734500264054,117-240-008,2003.0,117-240-008,direct,2003.0,2003.0,original
117-240-009,2025,0,0,0.0,PL,PL,0.0496351254033039,117-240-009,2003.0,117-240-009,direct,2003.0,2003.0,original
117-240-013,2025,0,0,0.0,PL,PL,0.043696860520044,117-240-013,2003.0,117-240-013,direct,2003.0,2003.0,original
093-500-015,2025,0,0,0.0,PL,PL,0.0162547819378035,093-500-015,2003.0,093-500-15,direct,,2003.0,original
093-500-033,2025,0,0,0.0,PL,PL,0.0106537608629934,093-500-033,1978.0,093-500-033,direct,,1978.0,original
093-500-014,2025,0,0,0.0,PL,PL,0.0111806264509903,093-500-014,2008.0,093-500-14,direct,,2008.0,original
093-500-019,2025,0,0,0.0,PL,PL,0.0111623583494605,093-500-019,1964.0,093-500-19,direct,,1964.0,original
093-500-032,2025,0,0,0.0,PL,PL,0.0155221198054718,093-500-032,1986.0,093-500-32,direct,,1986.0,original
093-500-031,2025,0,0,0.0,PL,PL,0.0155523878390491,093-500-031,1976.0,093-500-31,direct,,1976.0,original
093-500-030,2025,0,0,0.0,PL,PL,0.0107269464148693,093-500-030,1980.0,093-500-030,direct,,1980.0,original
093-500-029,2025,0,0,0.0,PL,PL,0.0155966615156222,093-500-029,1981.0,093-500-29,direct,,1981.0,original
093-500-028,2025,0,0,0.0,PL,PL,0.0156117136492618,093-500-028,1989.0,093-500-028,direct,,1989.0,original
093-500-027,2025,0,0,0.0,PL,PL,0.015664803917575,093-500-027,1981.0,093-500-27,direct,,1981.0,original
117-240-020,2025,0,0,0.0,PL,PL,0.0122119381495821,117-240-020,2003.0,117-240-020,direct,2003.0,2003.0,original
090-400-003,2025,0,0,0.0,PL,PL,0.0671200743970926,090-400-003,1983.0,090-400-03,direct,,1983.0,original
090-400-013,2025,0,0,0.0,PL,PL,0.0177116725893708,090-400-013,1978.0,090-400-13,direct,,1978.0,original
094-090-036,2025,0,0,0.0,PL,PL,0.0649358790603516,094-090-036,,,unmatched,1976.0,1976.0,county
090-400-008,2025,0,0,0.0,PL,PL,0.0177116725893708,090-400-008,1976.0,090-400-008,direct,,1976.0,original
117-240-002,2025,0,0,0.0,PL,PL,0.0454705353297401,117-240-002,2003.0,117-240-002,direct,2003.0,2003.0,original
117-240-005,2025,0,0,0.0,PL,PL,0.0345477275072626,117-240-005,2003.0,117-240-005,direct,2003.0,2003.0,original
117-240-019,2025,0,0,0.0,PL,PL,0.0179293455279655,117-240-019,2003.0,117-240-019,direct,2003.0,2003.0,original
117-240-006,2025,0,0,0.0,PL,PL,0.0345526672325669,117-240-006,2003.0,117-240-006,direct,2003.0,2003.0,original
117-240-007,2025,0,0,0.0,PL,PL,0.0345477368253898,117-240-007,2003.0,117-240-007,direct,2003.0,2003.0,original
117-240-017,2025,0,0,0.0,PL,PL,0.0304990917479568,117-240-017,2003.0,117-240-017,direct,2003.0,2003.0,original
117-240-011,2025,0,0,0.0,PL,PL,0.0346173114708972,117-240-011,2003.0,117-240-011,direct,2003.0,2003.0,original
117-240-010,2025,0,0,0.0,PL,PL,0.0341704655115386,117-240-010,2003.0,117-240-010,direct,2003.0,2003.0,original
117-240-012,2025,0,0,0.0,PL,PL,0.033916930102123,117-240-012,2003.0,117-240-012,direct,2003.0,2003.0,original
117-240-016,2025,0,0,0.0,PL,PL,0.030494143262609,117-240-016,2003.0,117-240-016,direct,2003.0,2003.0,original
117-240-015,2025,0,0,0.0,PL,PL,0.0307047526260737,117-240-015,2003.0,117-240-015,direct,2003.0,2003.0,original
090-400-023,2025,0,0,0.0,PL,PL,0.0177116725893708,090-400-023,1976.0,090-400-023,direct,,1976.0,original
090-400-018,2025,0,0,0.0,PL,PL,0.0177115204339782,090-400-018,1978.0,090-400-18,direct,,1978.0,original
098-210-018,2025,0,0,0.0,PL,PL,0.1264580609180727,098-210-018,1958.0,098-210-018,direct,1958.0,1958.0,original
097-020-012,2025,0,0,0.0,PL,PL,245.563001896734,097-020-012,1973.0,097-020-012,direct,,1973.0,original
097-170-001,2025,0,0,0.0,PL,PL,0.2360300277760578,097-170-001,2003.0,097-170-01,direct,,2003.0,original
097-170-011,2025,0,0,0.0,PL,PL,0.2357725831104601,097-170-011,2004.0,097-170-11,direct,,2004.0,original
097-170-002,2025,0,0,0.0,PL,PL,0.2370690548410092,097-170-002,2000.0,097-170-02,direct,,2000.0,original
097-020-015,2025,0,0,0.0,PL,PL,88.40334425790448,097-020-015,1976.0,097-020-015,direct,,1976.0,original
098-360-006,2025,0,0,0.0,PL,PL,0.0661397357721863,098-360-006,2021.0,098-360-006,direct,2021.0,2021.0,original
097-050-086,2025,0,0,0.0,PL,PL,27.18635381206856,097-050-086,,,unmatched,1978.0,1978.0,county
097-164-003,2025,0,0,0.0,PL,PL,0.5791432327604646,097-164-003,1997.0,097-164-003,direct,1997.0,1997.0,original
097-170-005,2025,0,0,0.0,PL,PL,0.2410769840727716,097-170-005,2002.0,097-170-005,direct,,2002.0,original
097-164-010,2025,0,0,0.0,PL,PL,1.196205885604263,097-164-010,1964.0,097-164-007,genealogy_old_from_new,,1964.0,original
097-010-006,2025,0,0,0.0,PL,PL,186.7351852868662,097-010-006,1979.0,097-010-06,direct,,1979.0,original
097-050-031,2025,0,0,0.0,PL,PL,163.58593970525467,097-050-031,1987.0,097-050-31,direct,,1987.0,original
098-173-009,2025,0,0,0.0,PL,PL,0.0669137340037361,098-173-009,,,unmatched,1960.0,1960.0,county
098-060-016,2025,0,0,0.0,PL,PL,0.1411888545429402,098-060-016,1897.0,098-060-16,direct,,1897.0,original
097-050-007,2025,0,0,0.0,PL,PL,5.092458421542951,097-050-007,1973.0,097-050-007,direct,,1973.0,original
097-050-093,2025,0,0,0.0,PL,PL,25.75082724686935,097-050-093,1979.0,097-050-018,genealogy_old_from_new,,1979.0,original
097-100-042,2025,0,0,0.0,PL,PL,0.6646249364487483,097-100-042,,,unmatched,1940.0,1940.0,county
097-100-034,2025,0,0,0.0,PL,PL,0.8082478704815601,097-100-034,,,unmatched,1978.0,1978.0,county
085-341-004,2025,0,0,0.0,PL,PL,1.272004386936487,085-341-004,1978.0,085-341-004,direct,,1978.0,original
085-133-001,2025,0,0,0.0,PL,PL,1.2740458622067306,085-133-001,1997.0,085-133-001,direct,,1997.0,original
097-050-032,2025,0,0,0.0,PL,PL,323.0035796471988,097-050-032,1940.0,097-050-32,direct,,1940.0,original
098-200-030,2025,0,0,0.0,PL,PL,0.2125730042181924,098-200-030,,,unmatched,1948.0,1948.0,county
097-050-034,2025,0,0,0.0,PL,PL,30.47429517708752,097-050-034,1989.0,097-050-34,direct,,1989.0,original
097-083-011,2025,0,0,0.0,PL,PL,0.2300749944149772,097-083-011,1933.0,097-083-013,genealogy_old_from_new,1999.0,1933.0,original
