Transaction Number,Parcel Type,APN,Current Parcel Status 2/1/2024,Parcel Address,Current Active Parcel
TRPA-TRF-611,Sending,023-201-075,Active,,
TRPA-TRF-605,Sending,1318-22-002-103,Active,,
TRPA-TRF-602,Sending,081-121-001,Active,,
TRPA-TRF-601,Sending,023-644-013,Active,,
TRPA-TRF-600,Sending,023-696-013,Active,,
TRPA-TRF-599,Sending,023-892-002,Active,,
TRPA-TRF-570,Sending,090-141-037,Active,,
TRPA-TRF-553,Sending,1318-22-002-103,Active,,
TRPA-TRF-552,Sending,122-591-02,Active,,
TRPA-TRF-551,Sending,029-041-021,Active,,
TRPA-TRF-550,Sending,027-123-022,Active,,
TRPA-TRF-547,Sending,029-530-015,Active,,
TRPA-TRF-545,Sending,023-111-039,Active,,
TRPA-TRF-539,Sending,031-082-008,Active,,
TRPA-TRF-533,Sending,027-123-022,Active,,
TRPA-TRF-532,Sending,027-690-09,Inactive,,027-690-019
TRPA-TRF-531,Sending,126-294-16,Active,,
TRPA-TRF-530,Sending,023-684-012,Active,,
TRPA-TRF-529,Sending,126-080-26,Inactive,"1200 ALTDORF TER, INCLINE VILLAGE, NV 89451",126-080-28
TRPA-TRF-528,Sending,014-302-002,Active,,
TRPA-TRF-527,Sending,026-061-015,Active,,
TRPA-TRF-525,Sending,027-073-019,Active,,
TRPA-TRF-524,Sending,027-073-029,Active,,
TRPA-TRF-520,Sending,026-154-012,Active,,
TRPA-TRF-519,Sending,027-010-030,Active,,
TRPA-TRF-518,Sending,1418-34-110-064,Active,,
TRPA-TRF-517,Sending,1318-22-002-103,Active,,
TRPA-TRF-516,Sending,032-142-006,Active,,
TRPA-TRF-492,Sending,032-277-022,Active,,
TRPA-TRF-491,Sending,029-150-008,Active,,
TRPA-TRF-490,Sending,027-072-015,Active,,
TRPA-TRF-489,Sending,027-081-006,Active,,
TRPA-TRF-488,Sending,027-072-034,Active,,
TRPA-TRF-487,Sending,027-081-002,Active,,
TRPA-TRF-486,Sending,027-072-016,Active,,
TRPA-TRF-485,Sending,031-162-011,Active,,
TRPA-TRF-467,Sending,1318-22-002-103,Active,,
TRPA-TRF-466,Sending,029-041-024,Active,,
TRPA-TRF-465,Sending,023-191-007,Active,,
TRPA-TRF-464,Sending,029-066-21,Inactive,"4125 LAKE TAHOE BLVD, SOUTH LAKE TAHOE, CA 96150",029-701-002
TRPA-TRF-463,Sending,027-082-035,Active,,
TRPA-TRF-461,Sending,029-062-020,Active,,
TRPA-TRF-436,Sending,031-226-010,Active,,
TRPA-TRF-435,Sending,029-362-018,Active,,
TRPA-TRF-434,Sending,029-362-010,Active,,
TRPA-TRF-433,Sending,029-332-007,Active,,
TRPA-TRF-430,Sending,027-074-005,Active,,
TRPA-TRF-429,Sending,031-226-010,Active,,
TRPA-TRF-428,Sending,032-141-027,Active,,
TRPA-TRF-427,Sending,027-321-013,Active,,
TRPA-TRF-426,Sending,029-095-06,Inactive,"3987 CEDAR DR, SOUTH LAKE TAHOE, CA 96150",029-630-029
TRPA-TRF-425,Sending,034-092-004,Active,,
TRPA-TRF-424,Sending,025-377-009,Active,,
TRPA-TRF-423,Sending,026-113-014,Active,,
TRPA-TRF-421,Sending,023-571-011,Active,,
TRPA-TRF-419,Sending,032-277-021,Active,,
TRPA-TRF-418,Sending,023-653-024,Active,,
TRPA-TRF-417,Sending,026-061-012,Active,,
TRPA-TRF-416,Sending,026-061-04,Inactive,"684 LILY AVE, SOUTH LAKE TAHOE, CA 96150",026-061-029
TRPA-TRF-412,Sending,026-154-012,Active,,
TRPA-TRF-411,Sending,026-154-012,Active,,
TRPA-TRF-393,Sending,023-653-024,Active,,
TRPA-TRF-391,Sending,029-170-002,Active,,
TRPA-TRF-390,Sending,031-030-032,Active,,
TRPA-TRF-389,Sending,030-402-006,Active,,
TRPA-TRF-388,Sending,032-050-078,Active,,
TRPA-TRF-387,Sending,031-045-008,Active,,
TRPA-TRF-386,Sending,026-221-013,Active,,
TRPA-TRF-385,Sending,097-060-029,Active,,
TRPA-TRF-383,Sending,112-180-015,Active,,
TRPA-TRF-382,Sending,090-222-051,Active,,
TRPA-TRF-380,Sending,023-392-003,Active,,
TRPA-TRF-378,Sending,016-101-073,Active,,
TRPA-TRF-375,Sending,1319-19-210-003,Active,,
TRPA-TRF-374,Sending,1318-15-611-053,Active,,
TRPA-TRF-373,Sending,1318-16-801-003,Active,,
TRPA-TRF-371,Sending,023-191-007,Active,,
TRPA-TRF-370,Sending,124-061-04,Active,,
TRPA-TRF-368,Sending,032-201-013,Active,,
