CSV_APN,FC_APN,Year,match,APN_changed
1318-23-710-038,1318-23-710-096,2023,within,True
1318-23-710-039,1318-23-710-097,2023,within,True
1318-23-814-004,1318-23-814-008,2023,within,True
1318-24-701-008,1318-24-701-010,2023,within,True
1318-25-110-009,1318-25-110-015,2023,within,True
1318-25-110-010,1318-25-110-016,2023,within,True
1318-26-101-029,1318-26-101-090,2023,within,True
1318-26-601-006,1318-26-601-008,2023,within,True
1318-27-001-002,1318-27-001-015,2023,within,True
1318-27-001-003,1318-27-001-015,2023,within,True
1319-19-212-078,1319-19-212-095,2023,within,True
1319-19-411-016,1319-19-411-030,2023,within,True
1319-19-411-024,1319-19-411-030,2023,within,True
1319-19-710-031,1319-19-710-048,2023,within,True
1319-19-710-032,1319-19-710-049,2023,within,True
1418-03-301-002,1418-03-301-013,2023,within,True
1418-10-501-001,1418-10-501-013,2023,within,True
1418-10-702-006,1418-10-702-009,2023,within,True
1418-10-702-007,1418-10-702-010,2023,within,True
1418-10-802-008,1418-10-802-010,2023,within,True
1418-11-311-004,1418-11-311-015,2023,within,True
1418-15-201-001,1418-15-201-005,2023,within,True
1418-15-201-003,1418-15-201-006,2023,within,True
1418-15-511-002,1418-15-511-027,2023,within,True
1418-15-601-001,1418-15-601-003,2023,within,True
1418-15-801-005,1418-15-801-010,2023,within,True
1418-22-611-027,1418-22-611-028,2023,within,True
1418-27-210-015,1418-27-210-034,2023,within,True
1418-27-210-029,1418-27-210-036,2023,within,True
1418-27-403-003,1418-27-403-005,2023,within,True
1418-34-101-001,1418-34-113-002,2023,within,True
1418-34-110-003,1418-34-110-002,2023,within,True
1418-34-110-010,1418-34-110-009,2023,within,True
1418-34-110-020,1418-34-110-062,2023,within,True
1418-34-110-024,1418-34-110-065,2023,within,True
1418-34-110-039,1418-34-110-060,2023,within,True
1418-34-201-001,1418-34-201-010,2023,within,True
1418-34-201-004,1418-34-201-007,2023,within,True
1418-34-201-005,1418-34-201-008,2023,within,True
1418-34-201-006,1418-34-201-009,2023,within,True
1418-34-210-007,1418-34-210-032,2023,within,True
1418-34-210-011,1418-34-210-033,2023,within,True
1418-34-211-026,1418-34-211-047,2023,within,True
1418-34-211-046,1418-34-211-048,2023,within,True
1418-34-401-009,1418-34-401-029,2023,within,True
1418-34-401-010,1418-34-401-029,2023,within,True
1418-34-401-011,1418-34-401-028,2023,within,True
015-061-013,015-061-029,2024,within,True
