old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
001-202-01,1418-11-110-004,,,,1,LTINFO
001-202-03,1418-11-110-006,,,,1,LTINFO
001-202-04,1418-11-110-007,,,,1,LTINFO
001-203-16,1418-10-511-008,,,,1,LTINFO
001-203-21,1418-10-511-014,,,,1,LTINFO
001-203-22,1418-10-511-015,,,,1,LTINFO
001-211-02,1418-10-511-022,,,,1,LTINFO
001-213-01,1418-10-511-007,,,,1,LTINFO
001-213-02,1418-10-511-006,,,,1,LTINFO
001-213-03,1418-10-511-005,,,,1,LTINFO
001-213-06,1418-10-511-002,,,,1,LTINFO
001-213-07,1418-10-511-001,,,,1,LTINFO
001-221-04,1418-03-811-020,,,,1,LTINFO
001-221-10,1418-03-811-014,,,,1,LTINFO
001-221-12,1418-03-811-011,,,,1,LTINFO
001-221-19,1418-03-811-004,,,,1,LTINFO
001-221-20,1418-03-811-032,,,,1,LTINFO
001-222-02,1418-03-811-030,,,,1,LTINFO
001-222-03,1418-03-811-029,,,,1,LTINFO
001-222-04,1418-03-811-028,,,,1,LTINFO
001-222-08,1418-03-811-024,,,,1,LTINFO
001-230-03,1418-03-711-003,,,,1,LTINFO
001-230-04,1418-03-711-004,,,,1,LTINFO
003-021-14,1418-22-611-026,,,,1,LTINFO
003-022-22,1418-22-610-006,,,,1,LTINFO
003-023-02,1418-22-610-002,,,,1,LTINFO
003-023-04,1418-22-610-004,,,,1,LTINFO
003-024-01,003-024-08,,,,1,LTINFO
003-024-07,1418-22-511-006,,,,1,LTINFO
003-024-08,1418-22-511-007,,,,1,LTINFO
003-025-12,1418-22-511-014,,,,1,LTINFO
003-030-03,003-030-10,,,,1,LTINFO
003-030-06,1418-22-501-004,,,,1,LTINFO
003-030-07,1418-22-501-003,,,,1,LTINFO
003-030-09,1418-22-501-001,,,,1,LTINFO
003-030-10,1418-22-510-003,,,,1,LTINFO
003-030-11,1418-22-501-006,,,,1,LTINFO
003-050-01,1418-00-002-003,,,,1,LTINFO
003-050-02,1418-00-002-004,,,,1,LTINFO
003-060-15,1418-27-202-001,,,,1,LTINFO
003-060-17,1418-27-601-005,,,,1,LTINFO
003-060-19,1418-27-601-004,,,,1,LTINFO
003-060-23,1418-27-601-006,,,,1,LTINFO
003-070-02,1418-27-210-001,,,,1,LTINFO
003-070-03,1418-27-210-003,,,,1,LTINFO
003-070-07,1418-27-210-002,,,,1,LTINFO
003-080-01,1418-27-210-005,,,,1,LTINFO
003-080-19,003-080-37,,,,1,LTINFO
003-080-25,003-080-37,,,,1,LTINFO
