"Pool","Development Right","Jurisdiction","Balance Remaining","# of Trans","Comments","Active?"
"Persons-at-one-time (PAOT) - East Shore (055)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Elk Point (069)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Incline Lake (052)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Incline Village Tourist Community Plan (048)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Kinsbury Drainage (080)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Lake Forest (008)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Marla Bay/Zephyr Heights (067)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Meyers Community Plan (125)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT- Martis Peak (019)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","124","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT- Watson Creek (013)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","400","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT- Zephyr Cove (066)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","200","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT-64 Acre Tract (174)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","50","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT-Burton Creek (004)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","568","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT-Fallen Leaf North (153)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","990","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT-Homewood/Tahoe Ski Bowl (157)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","450","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT-North Tahoe Recreation Area (024A)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","200","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT-Rabe (070B)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","288","1","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT-Sugar Pine Point (153)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","900","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight PAOT-Upper Ward Valley (Alpine) (166)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","280","0","","Yes"
"Persons-at-one-time (PAOT) - Overnight Use Reserved Pool","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","668","0","","Yes"
"Persons-at-one-time (PAOT) - Round Hill/Tahoe Dempsey (072)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Round Mound (068)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Snow Creek (024B)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Spooner Lake (057)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","390","0","","Yes"
"Persons-at-one-time (PAOT) - Stateline/Ski Run Community Plan (089B/91)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Summer Day Use Reserved Pool","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","1,780","4","","Yes"
"Persons-at-one-time (PAOT) - Summer Day Use Reserved Pool (Marina)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","1,771","1","Per the Marina Master Plan Guidelines, accessory marina uses do not require PAOTS as they normally cater to persons already using a marina and do not represent additional service capacity. However, certain uses would draw in and serve more people so they are not considered accessory and do require PAOTs. Jet ski rentals are one example that would require summer day use PAOTs. PAOTs for these non-accessory uses should not be drawn from the marina reserve PAOT pool.","Yes"
"Persons-at-one-time (PAOT) - Summer PAOT- Tahoe City Community Plan","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","580","0","","Yes"
"Persons-at-one-time (PAOT) - Summer PAOT-Carnelian Bay Community Plan (017)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","40","0","","Yes"
"Persons-at-one-time (PAOT) - Summer PAOT-Heavenly Valley California (087)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
