Row Labels,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
023-221-032,,,,,,,3367,3367,3367,3367,3367,3367,3367,3367
023-221-034,,,,,,,6035,6035,6035,6035,6035,6035,6035,6035
023-221-09,8456,8456,8456,8456,8456,8456,,,,,,,,
023-221-11,3022,3022,3022,3022,3022,3022,,,,,,,,
023-221-17,980,980,980,980,980,980,,,,,,,,
023-221-18,3296,3296,3296,3296,3296,3296,,,,,,,,
023-221-22,5889,5889,5889,5889,5889,5889,,,,,,,,
023-221-32,3367,3367,3367,3367,3367,3367,,,,,,,,
023-221-34,6035,6035,6035,6035,6035,6035,,,,,,,,
023-231-004,,,,,,,15318,15318,15318,15318,15318,15318,15318,15318
023-231-006,,,,,,,5568,5568,5568,5568,5568,5568,5568,5568
023-231-011,,,,,,,1469,1469,1469,1469,1469,1469,1469,1469
023-231-017,,,,,,,7051,7051,7051,7051,7051,7051,7051,7051
023-231-018,,,,,,,4306,4306,4306,4306,4306,4306,4306,4306
023-231-019,,,,,,,3760,3760,3760,3760,3760,3760,3760,3760
023-231-025,,,,,,,59440,59440,59440,59440,59440,59440,59440,59440
023-231-04,15318,15318,15318,15318,15318,15318,,,,,,,,
023-231-06,5568,5568,5568,5568,5568,5568,,,,,,,,
023-231-11,1469,1469,1469,1469,1469,1469,,,,,,,,
023-231-17,7051,7051,7051,7051,7051,7051,,,,,,,,
023-231-18,4306,4306,4306,4306,4306,4306,,,,,,,,
023-231-19,3760,3760,3760,3760,3760,3760,,,,,,,,
023-231-25,59440,59440,59440,59440,59440,59440,,,,,,,,
023-241-011,,,,,,,4372,4372,4372,4372,4372,4372,4372,4372
023-241-015,,,,,,,13681,13681,13681,13681,13681,13681,13681,13681
023-241-022,,,,,,,1600,1600,1600,1600,1600,1600,1600,1600
023-241-040,,,,,,,1241,1241,1241,1241,1241,1241,1241,1241
023-241-052,,,,,,,2652,2652,2652,2652,2652,2652,2652,2652
023-241-053,,,,,,,3301,3301,3301,3301,3301,3301,3301,3301
023-241-054,,,,,,,4443,4443,4443,4443,4443,4443,4443,4443
023-241-056,,,,,,,1887,1887,1887,1887,1887,1887,1887,1887
023-241-11,4372,4372,4372,4372,4372,4372,,,,,,,,
023-241-15,13681,13681,13681,13681,13681,13681,,,,,,,,
023-241-22,1600,1600,1600,1600,1600,1600,,,,,,,,
023-241-23,1641,1641,1641,0,0,0,,,,,,,,
023-241-023,,,,,,,0,0,0,0,0,0,0,0
023-241-40,1241,1241,1241,1241,1241,1241,,,,,,,,
023-241-52,2652,2652,2652,2652,2652,2652,,,,,,,,
023-241-53,3301,3301,3301,3301,3301,3301,,,,,,,,
023-241-54,4443,4443,4443,4443,4443,4443,,,,,,,,
