Row Labels,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
027-090-025,,,,,,,10315,10315,10315,10315,10315,10315,10315,10315
027-090-06,10409,10409,10409,10409,10409,10409,,,,,,,,
027-090-11,1068,1068,1068,1068,1068,1068,,,,,,,,
027-090-16,19839,19839,19839,19839,19839,19839,,,,,,,,
027-090-20,1780,1780,1780,1780,1780,1780,,,,,,,,
027-090-22,13213,13213,13213,13213,13213,13213,,,,,,,,
027-090-23,699,699,699,699,699,699,,,,,,,,
027-090-25,8776,8776,8776,10315,10315,10315,,,,,,,,
027-101-002,,,,,,,3909,3909,3909,3909,3909,3909,3909,3909
027-101-017,,,,,,,3026,3026,3026,3026,3026,3026,3026,3026
027-101-02,3909,3909,3909,3909,3909,3909,,,,,,,,
027-101-028,,,,,,,6831,6831,6831,6831,6831,6831,6831,6831
027-101-17,3026,3026,3026,3026,3026,3026,,,,,,,,
027-101-28,6831,6831,6831,6831,6831,6831,,,,,,,,
027-111-011,,,,,,,5895,5895,5895,5895,5895,5895,5895,5895
027-111-11,5895,5895,5895,5895,5895,5895,,,,,,,,
027-112-19,6288,6288,6288,6288,6288,,,,,,,,,
027-122-019,,,,,,,1487,1487,1487,1487,1487,1487,1487,1487
027-122-020,,,,,,,,,,,,,,
027-122-021,,,,,,,1579,1579,1579,1579,1579,1579,1579,1579
027-122-19,1487,1487,1487,1487,1487,1487,,,,,,,,
027-122-20,5290,5290,5290,5290,5290,,,,,,,,,
027-122-21,1579,1579,1579,1579,1579,1579,,,,,,,,
027-124-008,,,,,,,3166,3166,3166,3166,3166,3166,3166,3166
027-124-08,3166,3166,3166,3166,3166,3166,,,,,,,,
027-125-016,,,,,,,936,936,936,936,936,936,936,936
027-125-018,,,,,,,808,808,808,808,808,808,808,808
027-125-024,,,,,,,2702,2702,2702,2702,2702,2702,2702,2702
027-125-16,936,936,936,936,936,936,,,,,,,,
027-125-18,808,808,808,808,808,808,,,,,,,,
027-125-24,2702,2702,2702,2702,2702,2702,,,,,,,,
027-133-027,,,,,,,995,995,995,995,995,995,995,995
027-133-27,995,995,995,995,995,995,,,,,,,,
027-135-006,,,,,,,1520,1520,1520,1520,1520,1520,1520,1520
027-135-012,,,,,,,1938,1938,1938,1938,1938,1938,1938,1938
027-135-06,1520,1520,1520,1520,1520,1520,,,,,,,,
027-135-12,1938,1938,1938,1938,1938,1938,,,,,,,,
027-151-034,,,,,,,2071,2071,2071,2071,2071,2071,2071,2071
027-151-34,2071,2071,2071,2071,2071,2071,,,,,,,,
027-153-031,,,,,,,941,941,941,941,941,941,941,941
027-153-032,,,,,,,1900,1900,1900,1900,1900,1900,1900,1900
027-153-31,941,941,941,941,941,941,,,,,,,,
027-153-32,1900,1900,1900,1900,1900,1900,,,,,,,,
027-155-002,,,,,,,2187,2187,2187,2187,2187,2187,2187,2187
027-155-02,2187,2187,2187,2187,2187,2187,,,,,,,,
027-163-025,,,,,,,781,781,781,781,781,781,781,781
027-163-030,,,,,,,2915,2915,2915,2915,2915,2915,2915,2915
027-163-25,781,781,781,781,781,781,,,,,,,,
027-163-30,2915,2915,2915,2915,2915,2915,,,,,,,,
027-170-002,,,,,,,5416,5416,5416,5416,5416,5416,5416,5416
027-170-009,,,,,,,18284,18284,18284,18284,18284,18284,18284,18284
027-170-012,,,,,,,8272,8272,8272,8272,8272,8272,8272,8272
027-170-015,,,,,,,10280,10280,10280,10280,10280,10280,10280,10280
027-170-02,5416,5416,5416,5416,5416,5416,,,,,,,,
027-170-09,18284,18284,18284,18284,18284,18284,,,,,,,,
027-170-12,8272,8272,8272,8272,8272,8272,,,,,,,,
027-170-15,10280,10280,10280,10280,10280,10280,,,,,,,,
027-180-019,,,,,,,62981,62981,62981,62981,62981,62981,62981,62981
027-180-19,62981,62981,62981,62981,62981,62981,,,,,,,,
027-311-009,,,,,,,1991,1991,1991,1991,1991,1991,1991,1991
027-311-024,,,,,,,1242,1242,1242,1242,1242,1242,1242,1242
027-311-025,,,,,,,1804,1804,1804,1804,1804,1804,1804,1804
027-311-09,1991,1991,1991,1991,1991,1991,,,,,,,,
027-311-24,1242,1242,1242,1242,1242,1242,,,,,,,,
027-311-25,1804,1804,1804,1804,1804,1804,,,,,,,,
027-312-029,,,,,,,1006,1006,1006,1006,1006,1006,1006,1006
027-312-030,,,,,,,193,193,193,193,193,193,193,193
027-312-29,1006,1006,1006,1006,1006,1006,,,,,,,,
027-312-30,193,193,193,193,193,193,,,,,,,,
027-344-047,,,,,,,506,506,506,506,506,506,506,506
027-344-47,506,506,506,506,506,506,,,,,,,,
027-350-015,,,,,,,1555,1555,1555,1555,1555,1555,1555,1555
027-350-15,1555,1555,1555,1555,1555,1555,,,,,,,,
027-361-004,,,,,,,20063,20063,20063,20063,20063,20063,20063,20063
027-361-016,,,,,,,8619,8619,8619,8619,8619,8619,8619,8619
027-361-04,20063,20063,20063,20063,20063,20063,,,,,,,,
027-361-16,8619,,,8619,8619,8619,,,,,,,,
027-361-14,,8619,8619,,,,,,,,,,,
027-362-003,,,,,,,9727,9727,9727,9727,9727,9727,9727,9727
027-362-007,,,,,,,6626,6626,6626,6626,6626,6626,6626,6626
027-362-010,,,,,,,1783,1783,1783,1783,1783,1783,1783,1783
027-362-03,9727,9727,9727,9727,9727,9727,,,,,,,,
027-362-07,6626,6626,6626,6626,6626,6626,,,,,,,,
027-362-10,1783,1783,1783,1783,1783,1783,,,,,,,,
027-364-022,,,,,,,3841,3841,3841,3841,3841,3841,3841,3841
027-364-025,,,,,,,9314,9314,9314,9314,9314,9314,9314,9314
027-364-028,,,,,,,5829,5829,5829,5829,5829,5829,5829,5829
027-364-22,3841,3841,3841,3841,3841,3841,,,,,,,,
027-364-25,9314,9314,9314,9314,9314,9314,,,,,,,,
027-364-28,5829,,5829,5829,5829,5829,,,,,,,,
027-364-20,,5829,,,,,,,,,,,,
027-371-002,,,,,,,1665,1665,1665,1665,1665,1665,1665,1665
027-371-02,1665,1665,1665,1665,1665,1665,,,,,,,,
027-690-002,,,,,,,5975,5975,5975,5975,5975,5975,5975,5975
027-690-006,,,,,,,20685,20685,20685,20685,20685,20685,20685,20685
027-690-007,,,,,,,6915,6915,6915,6915,6915,6915,6915,6915
027-690-010,,,,,,,1030,1030,1030,1030,1030,1030,1030,1030
027-690-011,,,,,,,420,420,420,420,420,420,420,420
027-690-018,,,,,,,17290,17290,17290,17290,17290,17290,17290,17290
027-690-02,5975,5975,5975,5975,5975,5975,,,,,,,,
027-690-06,20685,20685,20685,20685,20685,20685,,,,,,,,
027-690-07,6915,6915,6915,6915,6915,6915,,,,,,,,
027-690-10,1030,1030,1030,1030,1030,1030,,,,,,,,
027-690-11,420,420,420,420,420,420,,,,,,,,
028-081-006,,,,,,,2667,2667,2667,2667,2667,2667,2667,2667
028-081-008,,,,,,,2843,2843,2843,2843,2843,2843,2843,2843
028-081-06,2667,2667,2667,2667,2667,2667,,,,,,,,
028-081-08,2843,2843,2843,2843,2843,2843,,,,,,,,
029-051-010,,,,,,,,,,,650,650,650,650
029-051-014,,,,,,,368,368,368,368,368,368,368,368
029-051-015,,,,,,,1156,1156,1156,1156,1156,1156,1156,1156
029-051-10,,,,,,,,,,,,,,
029-051-14,368,368,368,368,368,368,,,,,,,,
029-051-15,1156,1156,1156,1156,1156,1156,,,,,,,,
029-061-001,,,,,,,43026,43026,43026,43026,43026,43026,43026,43026
029-061-01,43026,43026,43026,43026,43026,43026,,,,,,,,
029-065-006,,,,,,,1615,1615,1615,1615,1615,1615,1615,1615
029-065-007,,,,,,,1934,1934,1934,1934,1934,1934,1934,1934
029-065-008,,,,,,,1006,1006,1006,1006,1006,1006,1006,1006
029-065-009,,,,,,,4407,4407,4407,4407,4407,4407,4407,4407
029-065-06,1615,1615,1615,1615,1615,1615,,,,,,,,
029-065-07,1934,1934,1934,1934,1934,1934,,,,,,,,
029-065-08,1006,1006,1006,1006,1006,1006,,,,,,,,
029-065-09,4407,4407,4407,4407,4407,4407,,,,,,,,
029-081-017,,,,,,,4784,4784,4784,4784,4784,4784,4784,4784
029-081-17,4784,4784,4784,4784,4784,4784,,,,,,,,
029-083-016,,,,,,,1756,1756,1756,10320,10320,10320,10320,10320
029-083-019,,,,,,,5838,5838,5838,5838,5838,5838,5838,5838
029-083-16,1756,1756,1756,1756,1756,1756,,,,,,,,
029-083-19,5838,5838,5838,5838,5838,5838,,,,,,,,
029-095-008,,,,,,,5366,5366,5366,5366,5366,5366,5366,5366
029-095-08,5366,5366,5366,5366,5366,5366,,,,,,,,
029-161-016,,,,,,,1406,1406,1406,1406,1406,1406,1406,1406
029-161-017,,,,,,,525,525,525,525,525,525,525,525
029-161-025,,,,,,,11793,11793,11793,11793,11793,11793,11793,11793
029-161-16,1406,1406,1406,1406,1406,1406,,,,,,,,
029-161-17,525,525,525,525,525,525,,,,,,,,
029-161-25,11793,11793,11793,11793,11793,11793,,,,,,,,
029-170-003,,,,,,,5831,5831,5831,5831,5831,5831,5831,5831
029-170-004,,,,,,,6911,6911,6911,6911,6911,6911,6911,6911
029-170-005,,,,,,,2046,2046,2046,2046,2046,2046,2046,2046
029-170-03,5831,5831,5831,5831,5831,5831,,,,,,,,
029-170-04,6911,6911,6911,6911,6911,6911,,,,,,,,
029-170-05,2046,2046,2046,2046,2046,2046,,,,,,,,
029-190-032,,,,,,,,,,,,,1972,1972
029-331-004,,,,,,,1071,1071,1071,1071,1071,1071,1071,1071
029-331-04,1071,1071,1071,1071,1071,1071,,,,,,,,
029-371-012,,,,,,,874,874,874,874,874,874,874,874
029-371-016,,,,,,,8023,8023,8023,8023,8023,8023,8023,8023
029-371-12,874,874,874,874,874,874,,,,,,,,
029-371-16,8023,8023,8023,8023,8023,8023,,,,,,,,
029-442-008,,,,,,,187249,187249,187249,187249,187249,187249,187249,187249
029-442-08,187249,187249,187249,187249,187249,187249,,,,,,,,
029-470-002,,,,,,,199174,199174,199174,199174,199174,199174,199174,199174
029-470-017,,,,,,,5122,5122,5122,5122,5122,5122,5122,5122
029-470-02,199174,199174,199174,199174,199174,199174,,,,,,,,
029-470-17,,,,5122,5122,5122,,,,,,,,
029-480-001,,,,,,,12659,12659,12659,12659,12659,12659,12659,12659
029-480-01,12659,12659,12659,12659,12659,12659,,,,,,,,
029-470-016,,,,,,,,,,,,,,1331
029-610-024,,,,,,,3293,3293,3293,3293,3293,3293,3293,3293
029-610-24,3293,3293,3293,3293,3293,3293,,,,,,,,
029-641-002,,,,,,,6307,6307,6307,6307,6307,6307,6307,6307
029-067-08,,,6307,6307,6307,,,,,,,,,
029-641-02,,,,,,6307,,,,,,,,
029-701-002,,,,,,,6500,6500,6500,6500,6500,6500,6500,6500
029-066-09,,,6500,,,,,,,,,,,
029-066-21,,,,15347,15347,,,,,,,,,
029-690-02,,,,,,6500,,,,,,,,
029-700-001,,,,,,,8847,8847,8847,8847,8847,8847,8847,8847
029-067-05,,,8847,,,,,,,,,,,
029-691-02,,,,,,8847,,,,,,,,
030-352-002,,,,,,,1689,1689,1689,1689,1689,1689,1689,1689
030-352-02,1689,1689,1689,1689,1689,1689,,,,,,,,
030-363-021,,,,,,,4384,4384,4384,4384,4384,4384,4384,4384
030-363-21,4384,4384,4384,4384,4384,4384,,,,,,,,
030-370-004,,,,,,,57387,57387,57387,57387,57387,57387,57387,57387
030-370-04,57387,57387,57387,57387,57387,57387,,,,,,,,
031-020-017,,,,,,,14615,14615,14615,14615,14615,14615,14615,14615
031-020-027,,,,,,,1262,1262,1262,1262,1262,1262,1262,1262
031-020-041,,,,,,,35212,35212,35212,35212,35212,35212,35212,35212
031-020-17,14615,14615,14615,14615,14615,14615,,,,,,,,
031-020-27,1262,1262,1262,1262,1262,1262,,,,,,,,
031-020-41,35212,35212,35212,35212,35212,35212,,,,,,,,
031-030-007,,,,,,,4180,3750,3750,3750,3750,3750,3750,3750
031-030-008,,,,,,,3188,3188,3188,3188,3188,3188,3188,3188
031-030-012,,,,,,,1494,1494,1494,1494,1494,1494,1494,1494
031-030-019,,,,,,,6527,6527,6527,6527,6527,6527,6527,6527
031-030-025,,,,,,,0,0,0,0,0,0,0,0
031-030-032,,,,,,,4894,4894,4894,4894,4894,4894,4894,4894
031-030-037,,,,,,,2986,2986,2986,2986,2986,2986,2986,2986
031-030-038,,,,,,,3159,3159,3159,3159,3159,3159,3159,3159
031-030-07,4180,4180,4180,4180,4180,4180,,,,,,,,
031-030-08,3188,3188,3188,3188,3188,3188,,,,,,,,
031-030-12,1494,1494,1494,1494,1494,1494,,,,,,,,
031-030-19,6527,6527,6527,6527,6527,6527,,,,,,,,
031-030-25,1428,1428,1428,1428,1428,1428,,,,,,,,
031-030-32,4894,4894,4894,4894,4894,4894,,,,,,,,
031-030-37,2986,2986,2986,2986,2986,2986,,,,,,,,
031-030-38,3159,3159,3159,3159,3159,3159,,,,,,,,
031-041-002,,,,,,,2134,2134,2134,2134,2134,2134,2134,2134
031-041-009,,,,,,,241,241,241,241,241,241,241,241
031-041-010,,,,,,,7521,7521,7521,7521,7521,7521,7521,7521
031-041-02,2134,2134,2134,2134,2134,2134,,,,,,,,
031-041-09,241,241,241,241,241,241,,,,,,,,
031-041-10,7521,7521,7521,7521,7521,7521,,,,,,,,
031-062-003,,,,,,,1803,1803,1803,1803,1803,1803,1803,1803
031-062-03,1803,1803,1803,1803,1803,1803,,,,,,,,
031-071-001,,,,,,,1943,1943,1943,1943,1943,1943,1943,1943
031-071-003,,,,,,,2557,2557,2557,2557,2557,2557,2557,2557
031-071-006,,,,,,,9981,9981,9981,9981,9981,9981,9981,9981
031-071-01,1943,1943,1943,1943,1943,1943,,,,,,,,
031-071-03,2557,2557,2557,2557,2557,2557,,,,,,,,
031-071-06,9981,9981,9981,9981,9981,9981,,,,,,,,
031-072-001,,,,,,,1053,1053,1053,1053,1053,1053,1053,1053
031-072-002,,,,,,,2043,2043,2043,2043,2043,2043,2043,2043
031-072-007,,,,,,,9828,9828,9828,9828,9828,9828,9828,9828
031-072-01,1053,1053,1053,1053,1053,1053,,,,,,,,
031-072-02,2043,2043,2043,2043,2043,2043,,,,,,,,
031-072-07,9828,9828,9828,9828,9828,9828,,,,,,,,
031-073-003,,,,,,,1520,1520,1520,1520,1520,1520,1520,1520
031-073-005,,,,,,,3561,3561,3561,3561,3561,3561,3561,3561
031-073-009,,,,,,,3583,3583,3583,3583,3583,3583,3583,3583
031-073-012,,,,,,,4753,4753,4753,4753,4753,4753,4753,4753
031-073-014,,,,,,,1640,1640,1640,1640,1640,1640,1640,1640
031-073-03,1520,1520,1520,1520,1520,1520,,,,,,,,
031-073-05,3561,3561,3561,3561,3561,3561,,,,,,,,
031-073-09,3583,3583,3583,3583,3583,3583,,,,,,,,
031-073-12,4753,4753,4753,4753,4753,4753,,,,,,,,
031-073-14,1640,1640,1640,1640,1640,1640,,,,,,,,
031-081-008,,,,,,,3376,3376,3376,3376,3376,3376,3376,3376
031-081-009,,,,,,,1759,1759,1759,1759,1759,1759,1759,1759
031-081-08,3376,3376,3376,3376,3376,3376,,,,,,,,
031-081-09,1759,1759,1759,1759,1759,1759,,,,,,,,
031-083-010,,,,,,,2184,2184,2184,1884,1884,1884,1884,1884
031-083-10,2184,2184,2184,2184,2184,2184,,,,,,,,
031-091-005,,,,,,,2597,2597,2597,2597,2597,2597,2597,2597
031-091-05,2597,2597,2597,2597,2597,2597,,,,,,,,
031-093-001,,,,,,,1200,1200,1200,1200,1200,1200,1200,1200
031-093-01,1200,1200,1200,1200,1200,1200,,,,,,,,
031-101-003,,,,,,,3967,3967,3967,3967,3967,3967,3967,3967
031-101-011,,,,,,,1568,1568,1568,1568,1568,1568,1568,1568
031-101-016,,,,,,,1528,1528,1528,1528,1528,1528,1528,1528
031-101-03,3967,3967,3967,3967,3967,3967,,,,,,,,
031-101-11,1568,1568,1568,1568,1568,1568,,,,,,,,
031-101-16,1528,1528,1528,1528,1528,1528,,,,,,,,
031-103-013,,,,,,,1881,1881,1881,1881,1881,1881,1881,1881
031-103-13,1881,1881,1881,1881,1881,1881,,,,,,,,
031-241-023,,,,,,,12002,12002,12002,12002,12002,12002,12002,12002
031-241-24,,5443,5443,,,,,,,,,,,
031-241-25,,146,146,,,,,,,,,,,
031-241-26,5589,,,9121,9121,9121,,,,,,,,
031-241-026,,,,,,,9121,9121,9121,9121,9121,9121,9121,9121
031-241-23,12002,12002,12002,12002,12002,12002,,,,,,,,
031-256-003,,,,,,,1568,1568,1568,1568,1568,,,
031-256-03,1568,1568,1568,1568,1568,1568,,,,,,,,
031-257-001,,,,,,,2195,2195,2195,2195,2195,2195,2195,2195
031-257-007,,,,,,,3797,3797,3797,3797,3797,3797,3797,
031-257-01,2195,2195,2195,2195,2195,2195,,,,,,,,
031-257-07,3797,3797,3797,3797,3797,3797,,,,,,,,
031-258-002,,,,,,,2919,2919,2919,2919,2919,2919,2919,2919
031-258-006,,,,,,,4472,4472,4472,4472,4472,4472,4472,4472
031-258-007,,,,,,,1805,1805,1805,1805,1805,1805,1805,1805
031-258-018,,,,,,,1685,1685,1685,1685,1685,1685,1685,1685
031-258-019,,,,,,,6446,6446,6446,6446,6446,6446,6446,6446
031-258-02,2919,2919,2919,2919,2919,2919,,,,,,,,
031-258-06,4472,4472,4472,4472,4472,4472,,,,,,,,
031-258-07,1805,1805,1805,1805,1805,1805,,,,,,,,
031-258-18,1685,1685,1685,1685,1685,1685,,,,,,,,
031-258-19,6446,6446,6446,6446,6446,6446,,,,,,,,
031-290-002,,,,,,,17801,17801,17801,17801,17801,17801,17801,17801
031-290-02,17801,17801,17801,17801,17801,17801,,,,,,,,
031-290-024,,,,,,,4514,4514,4514,4514,4514,4514,4514,4514
031-290-025,,,,,,,9552,9552,9552,9552,9552,9552,9552,9552
031-290-028,,,,,,,2201,2201,2201,2201,2201,2201,2201,2201
031-290-030,,,,,,,4456,4456,4456,4456,4456,4456,4456,4456
031-290-034,,,,,,,1307,1307,1307,1307,1307,1307,1307,1307
031-290-035,,,,,,,5608,5608,5608,5608,5608,5608,5608,5608
031-290-036,,,,,,,8836,8836,8836,8836,8836,8836,8836,8836
031-290-041,,,,,,,1091,1091,1091,1091,1091,1091,1091,1091
031-290-047,,,,,,,2028,2028,2028,2028,2028,2028,2028,2028
031-290-24,4514,4514,4514,4514,4514,4514,,,,,,,,
031-290-25,9552,9552,9552,9552,9552,9552,,,,,,,,
031-290-28,2201,2201,2201,2201,2201,2201,,,,,,,,
031-290-30,4456,4456,4456,4456,4456,4456,,,,,,,,
031-290-34,1307,1307,1307,1307,1307,1307,,,,,,,,
031-290-35,5608,5608,5608,5608,5608,5608,,,,,,,,
031-290-36,8836,8836,8836,8836,8836,8836,,,,,,,,
031-290-41,1091,1091,1091,1091,1091,1091,,,,,,,,
031-290-47,2028,2028,2028,2028,2028,2028,,,,,,,,
032-100-010,,,,,,,1649,1649,1649,1649,1649,1649,1649,1649
032-100-10,1649,1649,1649,1649,1649,1649,,,,,,,,
032-141-03,932,932,932,0,0,0,,,,,,,,
032-141-033,,,,,,,3605,3605,3605,3605,3605,3605,3605,3605
032-141-035,,,,,,,6795,6795,6795,6795,6795,6795,6795,6795
032-141-33,3605,3605,3605,3605,3605,3605,,,,,,,,
032-141-35,6795,6795,6795,6795,6795,6795,,,,,,,,
032-181-002,,,,,,,3583,3583,3583,3583,3583,3583,3583,3583
032-181-003,,,,,,,2221,2221,2221,2221,2221,2221,2221,2221
032-181-02,3583,3583,3583,3583,3583,3583,,,,,,,,
032-181-03,2221,2221,2221,2221,2221,2221,,,,,,,,
032-191-002,,,,,,,7937,7937,7937,7937,7937,7937,7937,7937
032-191-010,,,,,,,2326,2326,2326,2326,2326,2326,2326,2326
032-191-011,,,,,,,1033,1033,1033,1033,1033,1033,1033,1033
032-191-012,,,,,,,5000,5000,5000,5000,5000,,,
032-191-014,,,,,,,2102,2102,2102,2102,2102,2102,2102,2102
032-191-015,,,,,,,4637,4637,4637,4637,4637,4637,4637,4637
032-191-02,7937,7937,7937,7937,7937,7937,,,,,,,,
032-191-020,,,,,,,5432,5432,5432,5432,5432,5432,5432,5432
032-191-021,,,,,,,34791,34791,34791,34791,34791,34791,34791,34791
032-191-023,,,,,,,749,749,749,749,749,749,749,749
032-191-10,2326,2326,2326,2326,2326,2326,,,,,,,,
032-191-11,1033,1033,1033,1033,1033,1033,,,,,,,,
032-191-12,5000,5000,5000,5000,5000,5000,,,,,,,,
032-191-14,2102,2102,2102,2102,2102,2102,,,,,,,,
032-191-15,4637,4637,4637,4637,4637,4637,,,,,,,,
032-191-20,5432,5432,5432,5432,5432,5432,,,,,,,,
032-191-21,3064,3064,3064,3064,3064,34791,,,,,,,,
032-191-23,749,749,749,749,749,749,,,,,,,,
032-192-009,,,,,,,2381,2381,2381,2381,3522,3522,3522,3522
032-192-09,2381,2381,2381,2381,2381,2381,,,,,,,,
032-201-003,,,,,,,3748,3748,3748,3748,3748,3748,3748,3748
032-201-005,,,,,,,814,814,814,814,814,814,814,814
032-201-012,,,,,,,908,908,908,908,908,908,908,908
032-201-013,,,,,,,,6473,6473,6473,6473,6473,6473,6473
032-201-014,,,,,,,1701,1701,1701,1701,1701,1701,1701,1701
032-201-018,,,,,,,7989,7989,7989,7989,7989,7989,7989,7989
032-201-023,,,,,,,336,336,336,336,336,336,336,336
032-201-03,3748,3748,3748,3748,3748,3748,,,,,,,,
032-201-05,814,814,814,814,814,814,,,,,,,,
032-201-12,908,908,908,908,908,908,,,,,,,,
032-201-14,1701,1701,1701,1701,1701,1701,,,,,,,,
032-201-18,7989,7989,7989,7989,7989,7989,,,,,,,,
032-201-23,336,336,336,336,336,336,,,,,,,,
032-291-015,,,,,,,9961,11847,11847,11847,11847,11847,11847,11847
032-291-016,,,,,,,5072,5072,5072,5072,5072,5072,5072,5072
032-291-017,,,,,,,5724,5724,5724,5724,5724,5724,5724,5724
032-291-023,,,,,,,13583,13583,13583,13583,13583,13583,13583,13583
032-291-025,,,,,,,12284,12284,12284,12284,12284,12284,12284,12284
032-291-027,,,,,,,23573,23573,23573,23573,23573,23573,23573,23573
032-291-030,,,,,,,5595,5595,5595,5595,5595,5595,5595,5595
032-291-036,,,,,,,2543,2543,2543,2543,2543,2543,2543,2543
032-291-15,9961,9961,9961,9961,9961,9961,,,,,,,,
032-291-16,5072,5072,5072,5072,5072,5072,,,,,,,,
032-291-17,5724,5724,5724,5724,5724,5724,,,,,,,,
032-291-23,13583,13583,13583,13583,13583,13583,,,,,,,,
032-291-25,12284,12284,12284,12284,12284,12284,,,,,,,,
032-291-27,23573,23573,23573,23573,23573,23573,,,,,,,,
032-291-30,5595,5595,5595,5595,5595,5595,,,,,,,,
032-291-36,2543,2543,2543,2543,2543,2543,,,,,,,,
032-312-002,,,,,,,5490,5490,5490,5490,5490,5490,5490,5490
032-312-008,,,,,,,4498,4498,4498,4498,4498,4498,4498,4498
032-312-009,,,,,,,4906,4906,4906,4906,4906,4906,4906,4906
032-312-014,,,,,,,5557,5557,5557,5557,5557,5557,5557,5557
032-312-015,,,,,,,5391,5391,5391,5391,5391,5391,5391,5391
032-312-02,5490,5490,5490,5490,5490,5490,,,,,,,,
032-312-08,4498,4498,4498,4498,4498,4498,,,,,,,,
032-312-09,4906,4906,4906,4906,4906,4906,,,,,,,,
032-312-14,5557,5557,5557,5557,5557,5557,,,,,,,,
032-312-15,5391,5391,5391,5391,5391,5391,,,,,,,,
032-313-003,,,,,,,1144,1144,1144,1144,1144,1144,1144,1144
032-313-014,,,,,,,3275,3275,3275,3275,3275,3275,3275,3275
032-313-015,,,,,,,1629,1629,1629,1629,1629,1629,1629,1629
032-313-019,,,,,,,10232,10232,10232,10232,10232,10232,10232,10232
032-313-020,,,,,,,22355,22355,22355,22355,22355,22355,22355,22355
032-313-022,,,,,,,310,310,310,310,310,310,310,310
032-313-023,,,,,,,3334,3334,3334,3334,3334,3334,3334,3334
032-313-03,1144,1144,1144,1144,1144,1144,,,,,,,,
032-313-030,,,,,,,10422,10422,10422,10422,10422,10422,10422,10422
032-313-032,,,,,,,21913,21913,21913,21913,21913,21913,21913,21913
032-313-038,,,,,,,7044,7044,7044,7044,7044,7044,7044,7044
032-313-043,,,,,,,4756,4756,4756,4756,4756,4756,4756,4756
032-313-14,3275,3275,3275,3275,3275,3275,,,,,,,,
032-313-15,1629,1629,1629,1629,1629,1629,,,,,,,,
032-313-19,10232,10232,10232,10232,10232,10232,,,,,,,,
032-313-20,22355,22355,22355,22355,22355,22355,,,,,,,,
032-313-22,310,310,310,310,310,310,,,,,,,,
032-313-23,3334,3334,3334,3334,3334,3334,,,,,,,,
032-313-30,10422,10422,10422,10422,10422,10422,,,,,,,,
032-313-32,21913,21913,21913,21913,21913,21913,,,,,,,,
032-313-35,12246,12246,12246,12246,12246,12246,,,,,,,,
032-313-035,,,,,,,12246,12246,12246,12246,12246,12246,12246,12246
032-313-38,7044,7044,7044,7044,7044,7044,,,,,,,,
032-313-43,4756,4756,4756,4756,4756,4756,,,,,,,,
032-314-002,,,,,,,18443,18443,18443,18443,18443,18443,18443,18443
032-314-003,,,,,,,18526,18526,18526,18526,18526,18526,18526,18526
032-314-016,,,,,,,2618,2618,2618,2618,2618,2618,2618,2618
032-314-02,18443,18443,18443,18443,18443,18443,,,,,,,,
032-314-03,18526,18526,18526,18526,18526,18526,,,,,,,,
032-314-032,,,,,,,12438,12438,12438,12438,12438,12438,12438,12438
032-314-035,,,,,,,29436,29436,29436,29436,29436,29436,29436,29436
032-314-037,,,,,,,10393,10393,10393,10393,10393,10393,10393,10393
032-314-038,,,,,,,1199,1199,1199,1199,1199,1199,1199,1199
032-314-16,2618,2618,2618,2618,2618,2618,,,,,,,,
032-314-32,12438,12438,12438,12438,12438,12438,,,,,,,,
032-314-35,29436,29436,29436,29436,29436,29436,,,,,,,,
032-314-37,9793,,,9793,9793,9793,,,,,,,,
032-314-14,,10992,10992,,,,,,,,,,,
032-314-38,1199,,,1199,1199,1199,,,,,,,,
032-470-001,,,,,,,2633,2633,2633,2633,2633,2633,2633,2633
032-470-01,2633,2633,2633,2633,2633,2633,,,,,,,,
032-510-001,,,,,,,4167,4167,4167,4167,4167,4167,4167,4167
032-510-002,,,,,,,2835,2835,2835,2835,2835,2835,2835,2835
032-510-007,,,,,,,1296,1296,1296,1296,1296,1296,1296,1296
032-510-008,,,,,,,1020,1020,1020,1020,1020,1020,1020,1020
032-510-009,,,,,,,1296,1296,1296,1296,1296,1296,1296,1296
032-510-01,4167,4167,4167,4167,4167,4167,,,,,,,,
032-510-010,,,,,,,,,,,,,,
032-510-012,,,,,,,4906,4906,4906,4906,4906,4906,4906,4906
032-510-02,2835,2835,2835,2835,2835,2835,,,,,,,,
032-510-07,1296,1296,1296,1296,1296,1296,,,,,,,,
032-510-08,1020,1020,1020,1020,1020,1020,,,,,,,,
032-510-09,1296,1296,1296,1296,1296,1296,,,,,,,,
032-510-12,4906,4906,4906,4906,4906,4906,,,,,,,,
033-050-023,,,,,,,7260,7260,7260,7260,7260,7260,7260,7260
033-050-21,7260,7260,7260,7260,7260,7260,,,,,,,,
033-090-007,,,,,,,2227,2227,2227,2227,2227,2227,2227,2227
033-090-07,2227,2227,2227,2227,2227,2227,,,,,,,,
033-131-005,,,,,,,24590,24590,24590,24590,24590,24590,24590,24590
033-131-05,24590,24590,24590,24590,24590,24590,,,,,,,,
033-132-002,,,,,,,4107,4107,4107,4107,4107,4107,4107,4107
033-132-02,4107,4107,4107,4107,4107,4107,,,,,,,,
033-151-004,,,,,,,2622,2622,2622,2622,2622,2622,2622,2622
033-151-006,,,,,,,1075,1075,1075,1075,1075,1075,1075,1075
