APN,Year,Tourist_Units,CommercialFloorArea_SqFt
023-181-19,2012,0,2483.0
023-181-22,2012,0,2814.0
023-181-43,2012,0,3924.0
023-181-47,2012,0,1716.0
023-182-001,2018,0,13860.0
023-182-001,2019,0,13860.0
023-182-001,2020,0,13860.0
023-182-001,2021,0,13860.0
023-182-001,2022,0,13860.0
023-182-001,2023,0,13860.0
023-182-001,2024,0,13860.0
023-182-006,2018,0,1525.0
023-182-006,2019,0,1525.0
023-182-006,2020,0,1525.0
023-182-006,2021,0,1525.0
023-182-006,2022,0,1525.0
023-182-006,2023,0,1525.0
023-182-006,2024,0,1525.0
023-182-01,2012,0,13860.0
023-182-029,2018,0,1791.0
023-182-029,2019,0,1791.0
023-182-029,2020,0,1791.0
023-182-029,2021,0,1791.0
023-182-029,2022,0,1791.0
023-182-029,2023,0,1791.0
023-182-029,2024,0,1791.0
023-182-030,2018,0,4617.0
023-182-030,2019,0,4617.0
023-182-030,2020,0,4617.0
023-182-030,2021,0,4617.0
023-182-030,2022,0,4617.0
023-182-030,2023,0,4617.0
023-182-030,2024,0,4617.0
023-182-06,2012,0,1525.0
023-182-29,2012,0,1791.0
023-182-30,2012,0,4617.0
023-191-018,2018,0,4431.0
023-191-018,2019,0,4431.0
023-191-018,2020,0,4431.0
023-191-018,2021,0,4431.0
023-191-018,2022,0,4431.0
023-191-018,2023,0,4431.0
023-191-018,2024,0,4431.0
023-191-021,2018,0,9918.0
023-191-021,2019,0,9918.0
023-191-021,2020,0,9918.0
023-191-021,2021,0,9918.0
023-191-021,2022,0,9918.0
023-191-021,2023,0,9918.0
023-191-021,2024,0,9918.0
023-191-023,2018,0,14782.0
023-191-023,2019,0,14782.0
023-191-023,2020,0,14782.0
023-191-023,2021,0,14782.0
023-191-023,2022,0,14782.0
023-191-023,2023,0,14782.0
023-191-023,2024,0,14782.0
023-191-18,2012,0,4431.0
023-191-21,2012,0,9918.0
023-191-23,2012,0,14782.0
023-192-008,2018,0,5656.0
023-192-008,2019,0,5656.0
023-192-008,2020,0,5656.0
023-192-008,2021,0,5656.0
023-192-008,2022,0,5656.0
023-192-008,2023,0,5656.0
023-192-008,2024,0,5656.0
023-192-08,2012,0,5656.0
023-201-004,2018,0,5687.0
023-201-004,2019,0,5687.0
023-201-004,2020,0,5687.0
023-201-004,2021,0,5687.0
023-201-004,2022,0,5687.0
023-201-004,2023,0,5687.0
023-201-004,2024,0,5687.0
023-201-011,2018,0,24779.0
023-201-011,2019,0,24779.0
023-201-011,2020,0,24779.0
023-201-011,2021,0,24779.0
023-201-011,2022,0,24779.0
023-201-011,2023,0,24779.0
023-201-011,2024,0,24779.0
023-201-021,2018,0,16862.0
023-201-021,2019,0,16862.0
023-201-021,2020,0,16862.0
023-201-021,2021,0,16862.0
023-201-021,2022,0,16862.0
023-201-021,2023,0,16862.0
023-201-021,2024,0,16862.0
023-201-022,2018,0,2080.0
023-201-022,2019,0,2080.0
023-201-022,2020,0,2080.0
023-201-022,2021,0,2080.0
023-201-022,2022,0,2080.0
023-201-022,2023,0,2080.0
023-201-022,2024,0,2080.0
023-201-029,2018,0,14604.0
023-201-029,2019,0,14604.0
023-201-029,2020,0,14604.0
023-201-029,2021,0,14604.0
023-201-029,2022,0,14604.0
023-201-029,2023,0,14604.0
023-201-029,2024,0,14604.0
023-201-030,2018,0,9429.0
023-201-030,2019,0,9429.0
023-201-030,2020,0,9429.0
023-201-030,2021,0,9429.0
023-201-030,2022,0,9429.0
023-201-030,2023,0,9429.0
023-201-030,2024,0,9429.0
023-201-036,2018,0,2730.0
023-201-036,2019,0,2730.0
023-201-036,2020,0,2730.0
023-201-036,2021,0,2730.0
023-201-036,2022,0,2730.0
023-201-036,2023,0,2730.0
023-201-036,2024,0,2730.0
023-201-038,2018,0,2343.0
023-201-038,2019,0,2343.0
023-201-038,2020,0,2343.0
023-201-038,2021,0,2343.0
023-201-038,2022,0,2343.0
023-201-038,2023,0,2343.0
023-201-038,2024,0,2343.0
023-201-04,2012,0,5687.0
023-201-042,2018,0,3077.0
023-201-042,2019,0,3077.0
023-201-042,2020,0,3077.0
023-201-042,2021,0,3077.0
023-201-042,2022,0,3077.0
023-201-042,2023,0,3077.0
023-201-042,2024,0,3077.0
023-201-043,2018,0,953.0
023-201-043,2019,0,953.0
023-201-043,2020,0,953.0
023-201-043,2021,0,953.0
023-201-043,2022,0,953.0
023-201-043,2023,0,953.0
023-201-043,2024,0,953.0
023-201-044,2018,0,176.0
023-201-044,2019,0,176.0
023-201-044,2020,0,176.0
023-201-044,2021,0,176.0
023-201-044,2022,0,176.0
023-201-044,2023,0,176.0
023-201-044,2024,0,176.0
023-201-053,2018,0,10701.0
023-201-053,2019,0,10701.0
023-201-053,2020,0,10701.0
023-201-053,2021,0,10701.0
023-201-053,2022,0,10701.0
023-201-053,2023,0,10701.0
023-201-053,2024,0,10701.0
023-201-055,2018,0,2610.0
023-201-055,2019,0,2610.0
023-201-055,2020,0,2610.0
023-201-055,2021,0,2610.0
023-201-055,2022,0,2610.0
023-201-055,2023,0,2610.0
023-201-055,2024,0,2610.0
023-201-057,2018,0,5763.0
023-201-057,2019,0,5763.0
023-201-057,2020,0,5763.0
023-201-057,2021,0,5763.0
023-201-057,2022,0,5763.0
023-201-057,2023,0,5763.0
023-201-057,2024,0,5763.0
023-201-058,2018,0,7236.0
023-201-058,2019,0,7236.0
023-201-058,2020,0,7236.0
023-201-058,2021,0,7236.0
023-201-058,2022,0,7236.0
023-201-058,2023,0,7236.0
023-201-058,2024,0,7236.0
023-201-060,2018,0,3276.0
023-201-060,2019,0,3276.0
023-201-060,2020,0,3276.0
023-201-060,2021,0,3276.0
023-201-060,2022,0,3276.0
023-201-060,2023,0,3276.0
023-201-060,2024,0,3276.0
023-201-061,2018,0,1402.0
023-201-061,2019,0,1402.0
023-201-061,2020,0,1402.0
023-201-061,2021,0,1402.0
023-201-061,2022,0,1402.0
023-201-061,2023,0,1402.0
023-201-061,2024,0,1402.0
023-201-063,2018,0,290.0
023-201-063,2019,0,290.0
023-201-063,2020,0,290.0
023-201-063,2021,0,290.0
023-201-063,2022,0,290.0
023-201-063,2023,0,290.0
023-201-063,2024,0,290.0
023-201-067,2018,0,3909.0
