APN,Year,Tourist_Units,CommercialFloorArea_SqFt
027-690-002,2018,0,5975.0
027-690-002,2019,0,5975.0
027-690-002,2020,0,5975.0
027-690-002,2021,0,5975.0
027-690-002,2022,0,5975.0
027-690-002,2023,0,5975.0
027-690-002,2024,0,5975.0
027-690-004,2018,364,0.0
027-690-004,2019,364,0.0
027-690-004,2020,364,0.0
027-690-004,2021,364,0.0
027-690-004,2022,364,0.0
027-690-004,2023,364,0.0
027-690-004,2024,364,0.0
027-690-006,2018,0,20685.0
027-690-006,2019,0,20685.0
027-690-006,2020,0,20685.0
027-690-006,2021,0,20685.0
027-690-006,2022,0,20685.0
027-690-006,2023,0,20685.0
027-690-006,2024,0,20685.0
027-690-007,2018,0,6915.0
027-690-007,2019,0,6915.0
027-690-007,2020,0,6915.0
027-690-007,2021,0,6915.0
027-690-007,2022,0,6915.0
027-690-007,2023,0,6915.0
027-690-007,2024,0,6915.0
027-690-010,2018,0,1030.0
027-690-010,2019,0,1030.0
027-690-010,2020,0,1030.0
027-690-010,2021,0,1030.0
027-690-010,2022,0,1030.0
027-690-010,2023,0,1030.0
027-690-010,2024,0,1030.0
027-690-011,2018,0,420.0
027-690-011,2019,0,420.0
027-690-011,2020,0,420.0
027-690-011,2021,0,420.0
027-690-011,2022,0,420.0
027-690-011,2023,0,420.0
027-690-011,2024,0,420.0
027-690-018,2019,0,17290.0
027-690-018,2020,0,17290.0
027-690-018,2021,0,17290.0
027-690-018,2022,0,17290.0
027-690-018,2023,0,17290.0
027-690-018,2024,0,17290.0
027-690-02,2012,0,5975.0
027-690-04,2012,364,0.0
027-690-06,2012,0,20685.0
027-690-07,2012,0,6915.0
027-690-10,2012,0,1030.0
027-690-11,2012,0,420.0
028-081-006,2018,0,2667.0
028-081-006,2019,0,2667.0
028-081-006,2020,0,2667.0
028-081-006,2021,0,2667.0
028-081-006,2022,0,2667.0
028-081-006,2023,0,2667.0
028-081-006,2024,0,2667.0
028-081-008,2018,12,2843.0
028-081-008,2019,12,2843.0
028-081-008,2020,12,2843.0
028-081-008,2021,12,2843.0
028-081-008,2022,12,2843.0
028-081-008,2023,12,2843.0
028-081-008,2024,12,2843.0
028-081-06,2012,0,2667.0
028-081-08,2012,12,2843.0
028-231-001,2018,160,0.0
028-231-001,2019,160,0.0
028-231-001,2020,160,0.0
028-231-001,2021,160,0.0
028-231-001,2022,160,0.0
028-231-001,2023,160,0.0
028-231-001,2024,160,0.0
028-231-01,2012,160,0.0
029-041-002,2018,20,0.0
029-041-002,2019,20,0.0
029-041-002,2020,20,0.0
029-041-002,2021,20,0.0
029-041-002,2022,20,0.0
029-041-002,2023,20,0.0
029-041-002,2024,20,0.0
029-041-009,2018,5,0.0
029-041-009,2019,5,0.0
029-041-009,2020,5,0.0
029-041-009,2021,5,0.0
029-041-009,2022,5,0.0
029-041-009,2023,5,0.0
029-041-009,2024,5,0.0
029-041-017,2018,20,0.0
029-041-017,2019,20,0.0
029-041-017,2020,20,0.0
029-041-017,2021,20,0.0
029-041-017,2022,20,0.0
029-041-017,2023,20,0.0
029-041-017,2024,20,0.0
029-041-018,2018,5,0.0
029-041-018,2019,5,0.0
029-041-018,2020,5,0.0
029-041-018,2021,5,0.0
029-041-018,2022,5,0.0
029-041-018,2023,5,0.0
029-041-018,2024,5,0.0
029-041-02,2012,20,0.0
029-041-020,2018,19,0.0
029-041-020,2019,19,0.0
029-041-020,2020,19,0.0
029-041-020,2021,19,0.0
029-041-020,2022,19,0.0
029-041-020,2023,19,0.0
029-041-020,2024,19,0.0
029-041-030,2018,62,0.0
029-041-030,2019,62,0.0
029-041-030,2020,62,0.0
029-041-030,2021,62,0.0
029-041-030,2022,62,0.0
029-041-030,2023,62,0.0
029-041-030,2024,62,0.0
029-041-041,2018,36,0.0
029-041-041,2019,36,0.0
029-041-041,2020,36,0.0
029-041-041,2021,36,0.0
029-041-041,2022,36,0.0
029-041-041,2023,36,0.0
029-041-041,2024,36,0.0
029-041-047,2018,23,0.0
029-041-047,2019,23,0.0
029-041-047,2020,23,0.0
029-041-047,2021,23,0.0
029-041-047,2022,23,0.0
029-041-047,2023,23,0.0
029-041-047,2024,23,0.0
029-041-052,2018,37,0.0
029-041-052,2019,37,0.0
029-041-052,2020,37,0.0
029-041-052,2021,37,0.0
029-041-052,2022,37,0.0
029-041-052,2023,37,0.0
029-041-052,2024,37,0.0
029-041-055,2018,145,0.0
029-041-055,2019,145,0.0
029-041-055,2020,145,0.0
029-041-055,2021,145,0.0
029-041-055,2022,145,0.0
029-041-055,2023,145,0.0
029-041-055,2024,145,0.0
029-041-056,2018,17,0.0
029-041-056,2019,17,0.0
029-041-056,2020,17,0.0
029-041-056,2021,17,0.0
029-041-056,2022,17,0.0
029-041-056,2023,17,0.0
029-041-056,2024,17,0.0
029-041-057,2018,30,0.0
029-041-057,2019,30,0.0
029-041-057,2020,30,0.0
029-041-057,2021,30,0.0
029-041-057,2022,30,0.0
029-041-057,2023,30,0.0
029-041-057,2024,30,0.0
029-041-060,2018,38,0.0
029-041-060,2019,38,0.0
029-041-060,2020,38,0.0
029-041-060,2021,38,0.0
029-041-060,2022,38,0.0
029-041-060,2023,38,0.0
029-041-060,2024,38,0.0
029-041-061,2018,20,0.0
029-041-061,2019,20,0.0
029-041-061,2020,20,0.0
029-041-061,2021,20,0.0
029-041-061,2022,20,0.0
029-041-061,2023,20,0.0
029-041-061,2024,20,0.0
029-041-09,2012,5,0.0
029-041-17,2012,20,0.0
029-041-18,2012,5,0.0
029-041-20,2012,19,0.0
029-041-30,2012,62,0.0
029-041-41,2012,36,0.0
029-041-47,2012,23,0.0
029-041-52,2012,37,0.0
029-041-55,2012,145,0.0
029-041-56,2012,17,0.0
029-041-57,2012,30,0.0
029-041-60,2012,38,0.0
029-041-61,2012,20,0.0
029-051-001,2018,38,0.0
029-051-001,2019,38,0.0
029-051-001,2020,38,0.0
029-051-001,2021,38,0.0
029-051-001,2022,38,0.0
029-051-001,2023,38,0.0
029-051-001,2024,38,0.0
029-051-008,2018,24,0.0
029-051-008,2019,24,0.0
029-051-008,2020,24,0.0
029-051-008,2021,24,0.0
029-051-008,2022,24,0.0
029-051-008,2023,24,0.0
029-051-008,2024,24,0.0
029-051-01,2012,38,0.0
029-051-010,2018,15,650.0
029-051-010,2019,15,650.0
029-051-010,2020,15,650.0
029-051-010,2021,21,650.0
029-051-010,2022,21,650.0
029-051-010,2023,21,650.0
029-051-010,2024,21,650.0
029-051-014,2018,0,368.0
029-051-014,2019,0,368.0
029-051-014,2020,0,368.0
029-051-014,2021,0,368.0
029-051-014,2022,0,368.0
029-051-014,2023,0,368.0
029-051-014,2024,0,368.0
029-051-015,2018,0,1156.0
029-051-015,2019,0,1156.0
029-051-015,2020,0,1156.0
029-051-015,2021,0,1156.0
029-051-015,2022,0,1156.0
029-051-015,2023,0,1156.0
029-051-015,2024,0,1156.0
029-051-019,2018,41,0.0
029-051-019,2019,41,0.0
029-051-019,2020,41,0.0
029-051-019,2021,41,0.0
029-051-019,2022,41,0.0
029-051-019,2023,41,0.0
029-051-019,2024,41,0.0
029-051-020,2018,57,0.0
029-051-020,2019,57,0.0
029-051-020,2020,57,0.0
029-051-020,2021,57,0.0
029-051-020,2022,57,0.0
029-051-020,2023,57,0.0
029-051-020,2024,57,0.0
029-051-021,2018,73,0.0
029-051-021,2019,73,0.0
029-051-021,2020,73,0.0
029-051-021,2021,73,0.0
029-051-021,2022,73,0.0
029-051-021,2023,73,0.0
029-051-021,2024,73,0.0
029-051-08,2012,24,0.0
029-051-10,2012,15,650.0
029-051-14,2012,0,368.0
029-051-15,2012,0,1156.0
029-051-19,2012,41,0.0
029-051-20,2012,57,0.0
029-051-21,2012,73,0.0
029-052-001,2018,30,0.0
029-052-001,2019,30,0.0
029-052-001,2020,30,0.0
029-052-001,2021,30,0.0
029-052-001,2022,30,0.0
029-052-001,2023,30,0.0
029-052-001,2024,30,0.0
029-052-002,2018,12,0.0
029-052-002,2019,12,0.0
029-052-002,2020,12,0.0
029-052-002,2021,12,0.0
029-052-002,2022,12,0.0
029-052-002,2023,12,0.0
029-052-002,2024,12,0.0
029-052-003,2018,17,0.0
029-052-003,2019,17,0.0
029-052-003,2020,17,0.0
029-052-003,2021,17,0.0
029-052-003,2022,17,0.0
029-052-003,2023,17,0.0
029-052-003,2024,17,0.0
029-052-009,2018,30,0.0
029-052-009,2019,30,0.0
029-052-009,2020,30,0.0
029-052-009,2021,30,0.0
029-052-009,2022,30,0.0
029-052-009,2023,30,0.0
029-052-009,2024,30,0.0
029-052-01,2012,30,0.0
029-052-013,2018,19,0.0
029-052-013,2019,19,0.0
029-052-013,2020,19,0.0
029-052-013,2021,19,0.0
029-052-013,2022,19,0.0
029-052-013,2023,19,0.0
029-052-013,2024,19,0.0
029-052-018,2018,34,0.0
029-052-018,2019,34,0.0
029-052-018,2020,34,0.0
029-052-018,2021,34,0.0
029-052-018,2022,34,0.0
029-052-018,2023,34,0.0
029-052-018,2024,34,0.0
029-052-019,2018,57,0.0
029-052-019,2019,57,0.0
029-052-019,2020,57,0.0
029-052-019,2021,57,0.0
029-052-019,2022,57,0.0
029-052-019,2023,57,0.0
029-052-019,2024,57,0.0
029-052-02,2012,12,0.0
029-052-03,2012,17,0.0
029-052-09,2012,30,0.0
029-052-13,2012,19,0.0
029-052-18,2012,34,0.0
029-052-19,2012,57,0.0
029-053-008,2018,6,0.0
029-053-008,2019,6,0.0
029-053-008,2020,6,0.0
029-053-008,2021,6,0.0
029-053-008,2022,6,0.0
029-053-008,2023,6,0.0
029-053-008,2024,6,0.0
029-053-013,2018,62,0.0
029-053-013,2019,62,0.0
029-053-013,2020,62,0.0
029-053-013,2021,62,0.0
029-053-013,2022,62,0.0
029-053-013,2023,62,0.0
029-053-013,2024,62,0.0
029-053-08,2012,6,0.0
029-053-13,2012,62,0.0
029-061-001,2018,0,43026.0
029-061-001,2019,0,43026.0
029-061-001,2020,0,43026.0
029-061-001,2021,0,43026.0
029-061-001,2022,0,43026.0
029-061-001,2023,0,43026.0
029-061-001,2024,0,43026.0
029-061-01,2012,0,43026.0
029-063-002,2018,103,0.0
029-063-002,2019,103,0.0
029-063-002,2020,103,0.0
029-063-002,2021,103,0.0
029-063-002,2022,103,0.0
029-063-002,2023,103,0.0
029-063-002,2024,103,0.0
029-063-02,2012,103,0.0
029-064-004,2018,14,0.0
029-064-004,2019,14,0.0
029-064-004,2020,14,0.0
029-064-004,2021,14,0.0
029-064-004,2022,14,0.0
029-064-004,2023,14,0.0
029-064-004,2024,14,0.0
029-064-006,2018,21,0.0
029-064-006,2019,21,0.0
029-064-006,2020,21,0.0
029-064-006,2021,21,0.0
029-064-006,2022,21,0.0
029-064-006,2023,21,0.0
029-064-006,2024,21,0.0
029-064-04,2012,14,0.0
029-064-06,2012,21,0.0
029-065-001,2018,32,0.0
029-065-001,2019,32,0.0
029-065-001,2020,32,0.0
029-065-001,2021,32,0.0
029-065-001,2022,32,0.0
029-065-001,2023,32,0.0
029-065-001,2024,32,0.0
029-065-003,2018,19,0.0
029-065-003,2019,19,0.0
029-065-003,2020,19,0.0
029-065-003,2021,19,0.0
029-065-003,2022,19,0.0
029-065-003,2023,19,0.0
029-065-003,2024,19,0.0
029-065-004,2018,22,0.0
029-065-004,2019,22,0.0
029-065-004,2020,22,0.0
029-065-004,2021,22,0.0
029-065-004,2022,22,0.0
029-065-004,2023,22,0.0
029-065-004,2024,22,0.0
029-065-006,2018,0,1615.0
029-065-006,2019,0,1615.0
029-065-006,2020,0,1615.0
029-065-006,2021,0,1615.0
029-065-006,2022,0,1615.0
029-065-006,2023,0,1615.0
029-065-006,2024,0,1615.0
029-065-007,2018,0,1934.0
029-065-007,2019,0,1934.0
029-065-007,2020,0,1934.0
029-065-007,2021,0,1934.0
029-065-007,2022,0,1934.0
029-065-007,2023,0,1934.0
029-065-007,2024,0,1934.0
029-065-008,2018,0,1006.0
029-065-008,2019,0,1006.0
029-065-008,2020,0,1006.0
029-065-008,2021,0,1006.0
029-065-008,2022,0,1006.0
029-065-008,2023,0,1006.0
029-065-008,2024,0,1006.0
029-065-009,2018,0,4407.0
029-065-009,2019,0,4407.0
029-065-009,2020,0,4407.0
029-065-009,2021,0,4407.0
029-065-009,2022,0,4407.0
029-065-009,2023,0,4407.0
029-065-009,2024,0,4407.0
029-065-01,2012,32,0.0
029-065-03,2012,19,0.0
029-065-04,2012,22,0.0
029-065-06,2012,0,1615.0
029-065-07,2012,0,1934.0
029-065-08,2012,0,1006.0
029-065-09,2012,0,4407.0
029-081-002,2018,8,0.0
029-081-002,2019,8,0.0
029-081-002,2020,8,0.0
029-081-002,2021,8,0.0
029-081-002,2022,8,0.0
029-081-002,2023,8,0.0
029-081-002,2024,8,0.0
029-081-017,2018,22,4784.0
029-081-017,2019,22,4784.0
029-081-017,2020,22,4784.0
029-081-017,2021,22,4784.0
029-081-017,2022,22,4784.0
029-081-017,2023,22,4784.0
029-081-017,2024,22,4784.0
029-081-018,2018,18,0.0
029-081-018,2019,18,0.0
029-081-018,2020,18,0.0
029-081-018,2021,18,0.0
029-081-018,2022,18,0.0
029-081-018,2023,18,0.0
029-081-018,2024,18,0.0
029-081-02,2012,8,0.0
029-081-17,2012,22,4784.0
029-081-18,2012,18,0.0
029-082-017,2018,16,0.0
029-082-017,2019,16,0.0
029-082-017,2020,16,0.0
029-082-017,2021,16,0.0
029-082-017,2022,16,0.0
029-082-017,2023,16,0.0
029-082-017,2024,16,0.0
029-082-17,2012,16,0.0
029-083-016,2018,0,10320.0
029-083-016,2019,0,10320.0
029-083-016,2020,0,10320.0
029-083-016,2021,0,10320.0
029-083-016,2022,0,10320.0
029-083-016,2023,0,10320.0
029-083-016,2024,0,10320.0
029-083-019,2018,0,5838.0
029-083-019,2019,0,5838.0
029-083-019,2020,0,5838.0
029-083-019,2021,0,5838.0
029-083-019,2022,0,5838.0
029-083-019,2023,0,5838.0
029-083-019,2024,0,5838.0
029-083-020,2018,58,0.0
029-083-020,2019,58,0.0
029-083-020,2020,58,0.0
029-083-020,2021,58,0.0
029-083-020,2022,58,0.0
029-083-020,2023,58,0.0
029-083-020,2024,58,0.0
029-083-023,2018,116,0.0
029-083-023,2019,116,0.0
029-083-023,2020,116,0.0
029-083-023,2021,116,0.0
029-083-023,2022,116,0.0
029-083-023,2023,116,0.0
029-083-023,2024,116,0.0
029-083-14,2012,66,0.0
029-083-16,2012,27,1756.0
029-083-19,2012,0,5838.0
029-083-20,2012,58,0.0
029-083-22,2012,50,0.0
029-095-007,2018,24,0.0
029-095-007,2019,24,0.0
029-095-007,2020,24,0.0
029-095-007,2021,24,0.0
029-095-007,2022,24,0.0
029-095-007,2023,24,0.0
029-095-007,2024,24,0.0
029-095-008,2018,0,5366.0
029-095-008,2019,0,5366.0
029-095-008,2020,0,5366.0
029-095-008,2021,0,5366.0
029-095-008,2022,0,5366.0
029-095-008,2023,0,5366.0
029-095-008,2024,0,5366.0
029-095-010,2018,65,0.0
029-095-010,2019,65,0.0
029-095-010,2020,65,0.0
029-095-010,2021,65,0.0
029-095-010,2022,65,0.0
029-095-010,2023,65,0.0
029-095-010,2024,65,0.0
029-095-07,2012,24,0.0
029-095-08,2012,0,5366.0
029-095-10,2012,65,0.0
029-150-007,2018,34,0.0
029-150-007,2019,34,0.0
029-150-007,2020,34,0.0
029-150-007,2021,34,0.0
029-150-007,2022,34,0.0
029-150-007,2023,34,0.0
029-150-007,2024,34,0.0
029-150-010,2018,28,0.0
029-150-010,2019,28,0.0
029-150-010,2020,28,0.0
029-150-010,2021,28,0.0
029-150-010,2022,28,0.0
029-150-010,2023,28,0.0
029-150-010,2024,28,0.0
029-150-07,2012,34,0.0
029-150-10,2012,28,0.0
029-160-003,2018,74,0.0
029-160-003,2019,74,0.0
029-160-003,2020,74,0.0
029-160-003,2021,74,0.0
029-160-003,2022,74,0.0
029-160-003,2023,74,0.0
029-160-003,2024,74,0.0
029-160-03,2012,74,0.0
029-161-005,2018,21,0.0
029-161-005,2019,21,0.0
029-161-005,2020,21,0.0
029-161-005,2021,21,0.0
029-161-005,2022,21,0.0
029-161-005,2023,21,0.0
029-161-005,2024,21,0.0
029-161-016,2018,0,1406.0
029-161-016,2019,0,1406.0
029-161-016,2020,0,1406.0
029-161-016,2021,0,1406.0
029-161-016,2022,0,1406.0
029-161-016,2023,0,1406.0
029-161-016,2024,0,1406.0
029-161-017,2018,0,525.0
029-161-017,2019,0,525.0
029-161-017,2020,0,525.0
029-161-017,2021,0,525.0
029-161-017,2022,0,525.0
029-161-017,2023,0,525.0
029-161-017,2024,0,525.0
029-161-023,2018,21,0.0
029-161-023,2019,21,0.0
029-161-023,2020,21,0.0
029-161-023,2021,21,0.0
029-161-023,2022,21,0.0
029-161-023,2023,21,0.0
029-161-023,2024,21,0.0
029-161-025,2018,45,11793.0
029-161-025,2019,45,11793.0
029-161-025,2020,45,11793.0
029-161-025,2021,45,11793.0
029-161-025,2022,45,11793.0
029-161-025,2023,45,11793.0
029-161-025,2024,45,11793.0
029-161-05,2012,21,0.0
029-161-16,2012,0,1406.0
029-161-17,2012,0,525.0
029-161-23,2012,21,0.0
029-161-25,2012,45,11793.0
029-162-002,2018,32,0.0
029-162-002,2019,32,0.0
029-162-002,2020,32,0.0
029-162-002,2021,32,0.0
029-162-002,2022,32,0.0
029-162-002,2023,32,0.0
029-162-002,2024,32,0.0
029-162-007,2018,36,0.0
029-162-007,2019,36,0.0
029-162-007,2020,36,0.0
029-162-007,2021,36,0.0
029-162-007,2022,36,0.0
029-162-007,2023,36,0.0
029-162-007,2024,36,0.0
029-162-02,2012,32,0.0
029-162-07,2012,36,0.0
029-163-013,2018,92,0.0
029-163-013,2019,92,0.0
029-163-013,2020,92,0.0
029-163-013,2021,92,0.0
029-163-013,2022,92,0.0
029-163-013,2023,92,0.0
029-163-013,2024,92,0.0
029-163-13,2012,92,0.0
029-164-001,2018,16,0.0
029-164-001,2019,16,0.0
029-164-001,2020,16,0.0
029-164-001,2021,16,0.0
029-164-001,2022,16,0.0
029-164-001,2023,16,0.0
029-164-001,2024,16,0.0
029-164-01,2012,16,0.0
029-170-003,2018,0,5831.0
029-170-003,2019,0,5831.0
029-170-003,2020,0,5831.0
029-170-003,2021,0,5831.0
029-170-003,2022,0,5831.0
029-170-003,2023,0,5831.0
029-170-003,2024,0,5831.0
029-170-004,2018,0,6911.0
029-170-004,2019,0,6911.0
029-170-004,2020,0,6911.0
029-170-004,2021,0,6911.0
029-170-004,2022,0,6911.0
029-170-004,2023,0,6911.0
029-170-004,2024,0,6911.0
029-170-005,2018,0,2046.0
029-170-005,2019,0,2046.0
029-170-005,2020,0,2046.0
029-170-005,2021,0,2046.0
029-170-005,2022,0,2046.0
029-170-005,2023,0,2046.0
029-170-005,2024,0,2046.0
029-170-03,2012,0,5831.0
029-170-04,2012,0,6911.0
029-170-05,2012,0,2046.0
029-190-032,2018,400,1972.0
029-190-032,2019,400,1972.0
029-190-032,2020,400,1972.0
029-190-032,2021,400,1972.0
029-190-032,2022,400,1972.0
029-190-032,2023,400,1972.0
029-190-032,2024,400,1972.0
029-190-32,2012,400,0.0
029-331-004,2018,0,1071.0
029-331-004,2019,0,1071.0
029-331-004,2020,0,1071.0
029-331-004,2021,0,1071.0
029-331-004,2022,0,1071.0
029-331-004,2023,0,1071.0
029-331-004,2024,0,1071.0
029-331-04,2012,0,1071.0
029-351-001,2018,15,0.0
029-351-001,2019,15,0.0
029-351-001,2020,15,0.0
029-351-001,2021,15,0.0
029-351-001,2022,15,0.0
029-351-001,2023,15,0.0
029-351-001,2024,15,0.0
029-351-01,2012,15,0.0
029-351-020,2018,24,0.0
029-351-020,2019,24,0.0
029-351-020,2020,24,0.0
029-351-020,2021,24,0.0
029-351-020,2022,24,0.0
029-351-020,2023,24,0.0
029-351-020,2024,24,0.0
029-351-20,2012,24,0.0
029-352-010,2018,20,0.0
029-352-010,2019,20,0.0
029-352-010,2020,20,0.0
029-352-010,2021,20,0.0
029-352-010,2022,20,0.0
029-352-010,2023,20,0.0
029-352-010,2024,20,0.0
029-352-10,2012,20,0.0
029-371-012,2018,0,874.0
029-371-012,2019,0,874.0
029-371-012,2020,0,874.0
029-371-012,2021,0,874.0
029-371-012,2022,0,874.0
029-371-012,2023,0,874.0
029-371-012,2024,0,874.0
029-371-016,2018,23,8023.0
029-371-016,2019,23,8023.0
029-371-016,2020,23,8023.0
029-371-016,2021,23,8023.0
029-371-016,2022,23,8023.0
029-371-016,2023,23,8023.0
029-371-016,2024,23,8023.0
029-371-12,2012,0,874.0
029-371-16,2012,23,8023.0
029-381-049,2018,45,0.0
029-381-049,2019,45,0.0
029-381-049,2020,45,0.0
029-381-049,2021,45,0.0
029-381-049,2022,45,0.0
029-381-049,2023,45,0.0
029-381-049,2024,45,0.0
029-381-49,2012,45,0.0
029-441-018,2018,110,0.0
029-441-018,2019,110,0.0
029-441-018,2020,110,0.0
029-441-018,2021,110,0.0
029-441-018,2022,110,0.0
029-441-018,2023,110,0.0
029-441-018,2024,110,0.0
029-441-04,2012,104,0.0
029-441-18,2012,110,0.0
029-442-008,2018,0,187249.0
029-442-008,2019,0,187249.0
029-442-008,2020,0,187249.0
029-442-008,2021,0,187249.0
029-442-008,2022,0,187249.0
029-442-008,2023,0,187249.0
029-442-008,2024,0,187249.0
029-442-08,2012,0,187249.0
029-470-002,2018,0,199174.0
029-470-002,2019,0,199174.0
029-470-002,2020,0,199174.0
029-470-002,2021,0,199174.0
029-470-002,2022,0,199174.0
029-470-002,2023,0,199174.0
029-470-002,2024,0,199174.0
029-470-017,2018,0,5122.0
029-470-017,2019,0,5122.0
029-470-017,2020,0,5122.0
029-470-017,2021,0,5122.0
029-470-017,2022,0,5122.0
029-470-017,2023,0,5122.0
029-470-017,2024,0,5122.0
029-470-02,2012,0,199174.0
029-470-17,2012,0,5122.0
029-480-001,2018,0,12659.0
029-480-001,2019,0,12659.0
029-480-001,2020,0,12659.0
029-480-001,2021,0,12659.0
029-480-001,2022,0,12659.0
029-480-001,2023,0,12659.0
029-480-001,2024,0,12659.0
029-480-004,2018,449,0.0
029-480-004,2019,449,0.0
029-480-004,2020,449,0.0
029-480-004,2021,449,0.0
029-480-004,2022,449,0.0
029-480-004,2023,449,0.0
029-480-004,2024,449,0.0
029-480-01,2012,0,12659.0
029-480-04,2012,449,0.0
029-490-004,2018,332,0.0
029-490-004,2019,332,0.0
029-490-004,2020,332,0.0
029-490-004,2021,332,0.0
029-490-004,2022,332,0.0
029-490-004,2023,332,0.0
029-490-004,2024,332,0.0
029-490-006,2018,0,1331.0
029-490-006,2019,0,1331.0
029-490-006,2020,0,1331.0
029-490-006,2021,0,1331.0
029-490-006,2022,0,1331.0
029-490-006,2023,0,1331.0
029-490-006,2024,0,1331.0
029-490-04,2012,332,0.0
029-602-013,2018,77,0.0
029-602-013,2019,82,0.0
029-602-013,2020,82,0.0
029-602-013,2021,82,0.0
029-602-013,2022,82,0.0
029-602-013,2023,82,0.0
029-602-013,2024,82,0.0
029-602-13,2012,96,0.0
029-610-003,2018,22,0.0
029-610-003,2019,22,0.0
029-610-003,2020,22,0.0
029-610-003,2021,22,0.0
029-610-003,2022,22,0.0
029-610-003,2023,22,0.0
029-610-003,2024,22,0.0
029-610-018,2018,12,0.0
029-610-018,2019,12,0.0
029-610-018,2020,12,0.0
029-610-018,2021,12,0.0
029-610-018,2022,12,0.0
029-610-018,2023,12,0.0
029-610-018,2024,12,0.0
029-610-021,2018,43,0.0
029-610-021,2019,43,0.0
029-610-021,2020,43,0.0
029-610-021,2021,43,0.0
029-610-021,2022,43,0.0
029-610-021,2023,43,0.0
029-610-021,2024,43,0.0
029-610-024,2018,100,3293.0
029-610-024,2019,100,3293.0
029-610-024,2020,100,3293.0
029-610-024,2021,100,3293.0
029-610-024,2022,100,3293.0
029-610-024,2023,100,3293.0
029-610-024,2024,100,3293.0
029-610-025,2018,39,0.0
029-610-025,2019,39,0.0
029-610-025,2020,39,0.0
029-610-025,2021,39,0.0
029-610-025,2022,39,0.0
029-610-025,2023,39,0.0
029-610-025,2024,39,0.0
029-610-03,2012,22,0.0
029-610-18,2012,12,0.0
029-610-21,2012,43,0.0
029-610-24,2012,100,3293.0
029-610-25,2012,39,0.0
029-641-002,2018,32,2600.0
029-641-002,2019,32,2600.0
029-641-002,2020,32,2600.0
029-641-002,2021,32,2600.0
029-641-002,2022,32,2600.0
029-641-002,2023,32,2600.0
029-641-002,2024,32,2600.0
029-661-013,2018,0,6307.0
029-661-013,2019,0,6307.0
029-661-013,2020,0,6307.0
029-661-013,2021,0,6307.0
029-661-013,2022,0,6307.0
029-661-013,2023,0,6307.0
029-661-013,2024,0,6307.0
029-680-002,2021,0,6500.0
029-680-002,2022,0,6500.0
029-680-002,2023,0,6500.0
029-680-002,2024,0,6500.0
029-700-001,2018,0,8847.0
029-700-001,2019,0,8847.0
029-700-001,2020,0,8847.0
029-700-001,2021,0,8847.0
029-700-001,2022,0,8847.0
029-700-001,2023,0,8847.0
029-700-001,2024,0,8847.0
030-352-002,2018,0,1689.0
030-352-002,2019,0,1689.0
030-352-002,2020,0,1689.0
030-352-002,2021,0,1689.0
030-352-002,2022,0,1689.0
030-352-002,2023,0,1689.0
030-352-002,2024,0,1689.0
030-352-02,2012,0,1689.0
030-363-021,2018,0,4384.0
030-363-021,2019,0,4384.0
030-363-021,2020,0,4384.0
030-363-021,2021,0,4384.0
030-363-021,2022,0,4384.0
030-363-021,2023,0,4384.0
030-363-021,2024,0,4384.0
030-363-21,2012,0,4384.0
030-370-004,2018,0,57387.0
030-370-004,2019,0,57387.0
030-370-004,2020,0,57387.0
030-370-004,2021,0,57387.0
030-370-004,2022,0,57387.0
030-370-004,2023,0,57387.0
030-370-004,2024,0,57387.0
030-370-04,2012,0,57387.0
031-020-017,2018,0,14615.0
031-020-017,2019,0,14615.0
031-020-017,2020,0,14615.0
031-020-017,2021,0,14615.0
031-020-017,2022,0,14615.0
031-020-017,2023,0,14615.0
031-020-017,2024,0,14615.0
031-020-027,2018,0,1262.0
031-020-027,2019,0,1262.0
031-020-027,2020,0,1262.0
031-020-027,2021,0,1262.0
031-020-027,2022,0,1262.0
031-020-027,2023,0,1262.0
031-020-027,2024,0,1262.0
031-020-041,2018,0,35212.0
031-020-041,2019,0,35212.0
031-020-041,2020,0,35212.0
031-020-041,2021,0,35212.0
031-020-041,2022,0,35212.0
031-020-041,2023,0,35212.0
031-020-041,2024,0,35212.0
031-020-17,2012,0,14615.0
031-020-27,2012,0,1262.0
031-020-41,2012,0,35212.0
031-030-007,2018,0,4180.0
031-030-007,2019,0,3750.0
031-030-007,2020,0,3750.0
031-030-007,2021,0,3750.0
031-030-007,2022,0,3750.0
031-030-007,2023,0,3750.0
031-030-007,2024,0,3750.0
031-030-008,2018,0,3188.0
031-030-008,2019,0,3188.0
031-030-008,2020,0,3188.0
031-030-008,2021,0,3188.0
031-030-008,2022,0,3188.0
031-030-008,2023,0,3188.0
031-030-008,2024,0,3188.0
031-030-012,2018,0,1494.0
031-030-012,2019,0,1494.0
031-030-012,2020,0,1494.0
031-030-012,2021,0,1494.0
031-030-012,2022,0,1494.0
031-030-012,2023,0,1494.0
031-030-012,2024,0,1494.0
031-030-019,2018,0,6527.0
031-030-019,2019,0,6527.0
031-030-019,2020,0,6527.0
031-030-019,2021,0,6527.0
031-030-019,2022,0,6527.0
031-030-019,2023,0,6527.0
031-030-019,2024,0,6527.0
031-030-025,2018,0,447.0
031-030-025,2019,0,447.0
031-030-025,2020,0,447.0
031-030-025,2021,0,447.0
031-030-025,2022,0,447.0
031-030-025,2023,0,447.0
031-030-025,2024,0,447.0
031-030-032,2018,0,4894.0
